PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
1. Alex Ovechkin,Washington Capitals,M-NTC,UFA,31,"LW, RW",,81,53,28,81,10,20:19,-,-,-,-,-,,"$10,000,000","$9,538,462"
2. Evgeni Malkin,Pittsburgh Penguins,NMC,UFA,30,"C, RW",,69,28,42,70,-2,18:58,-,-,-,-,-,,"$9,500,000","$9,500,000"
3. P.K. Subban,Nashville Predators,,UFA,28,D,,82,15,45,60,21,26:12,-,-,-,-,-,,"$7,000,000","$9,000,000"
4. Sidney Crosby,Pittsburgh Penguins,NMC,UFA,29,C,,77,28,56,84,5,19:58,-,-,-,-,-,,"$12,000,000","$8,700,000"
5. Corey Perry,Anaheim Ducks,NMC,UFA,32,RW,,67,33,22,55,13,18:06,-,-,-,-,-,,"$9,000,000","$8,625,000"
6. Henrik Lundqvist,New York Rangers,NMC,UFA,35,G,,46,-,-,-,-,-,30,13,5,2.25,.922,,"$11,000,000","$8,500,000"
7. Claude Giroux,Philadelphia Flyers,,UFA,29,"C, RW",,81,25,48,73,-3,20:33,-,-,-,-,-,,"$10,000,000","$8,275,000"
8. Ryan Getzlaf,Anaheim Ducks,NMC,UFA,32,C,,77,25,45,70,15,20:05,-,-,-,-,-,,"$8,750,000","$8,250,000"
9. Eric Staal,Minnesota Wild,NTC,UFA,32,C,,77,23,31,54,-13,18:50,-,-,-,-,-,,"$9,250,000","$8,250,000"
10. Phil Kessel,Pittsburgh Penguins,"M-NTC, NMC",UFA,29,RW,,82,25,36,61,-34,18:47,-,-,-,-,-,,"$10,000,000","$8,000,000"
11. Shea Weber,Montreal Canadiens,,UFA,31,D,,78,15,30,45,15,26:22,-,-,-,-,-,,"$14,000,000","$7,857,143"
12. Rick Nash,New York Rangers,NMC,UFA,33,"LW, RW",,79,42,27,69,29,17:27,-,-,-,-,-,,"$7,900,000","$7,800,000"
13. Zach Parise,Minnesota Wild,NMC,UFA,32,LW,,74,33,29,62,21,19:11,-,-,-,-,-,,"$11,000,000","$7,538,462"
14. Ryan Suter,Minnesota Wild,NMC,UFA,32,D,,77,2,36,38,7,29:03,-,-,-,-,-,,"$11,000,000","$7,538,462"
15. Steven Stamkos,Tampa Bay Lightning,,UFA,27,C,,82,43,29,72,2,19:22,-,-,-,-,-,,"$8,000,000","$7,500,000"
16. Kris Letang,Pittsburgh Penguins,"M-NTC, NMC",UFA,30,D,,69,11,43,54,12,25:29,-,-,-,-,-,,"$7,250,000","$7,250,000"
17. Dion Phaneuf,Ottawa Senators,"M-NTC, NMC",UFA,32,D,,70,3,26,29,-11,23:43,-,-,-,-,-,,"$8,000,000","$7,000,000"
18. Jason Spezza,Dallas Stars,"M-NTC, NMC",UFA,34,C,,82,17,45,62,-7,17:13,-,-,-,-,-,,"$4,000,000","$7,000,000"
19. Drew Doughty,Los Angeles Kings,,UFA,27,D,,82,7,39,46,3,28:59,-,-,-,-,-,,"$7,000,000","$7,000,000"
20. Paul Stastny,St. Louis Blues,NTC,UFA,31,C,,74,16,30,46,5,17:37,-,-,-,-,-,,"$6,500,000","$7,000,000"
21. Henrik Sedin,Vancouver Canucks,NMC,UFA,36,C,,82,18,55,73,11,18:36,-,-,-,-,-,,"$7,000,000","$7,000,000"
22. Daniel Sedin,Vancouver Canucks,NMC,UFA,36,LW,,82,20,56,76,5,18:21,-,-,-,-,-,,"$7,000,000","$7,000,000"
23. Pekka Rinne,Nashville Predators,NMC,UFA,34,G,,64,-,-,-,-,-,41,17,4,2.18,.923,,"$7,000,000","$7,000,000"
24. Tuukka Rask,Boston Bruins,NMC,UFA,30,G,,70,-,-,-,-,-,34,21,3,2.30,.922,,"$7,500,000","$7,000,000"
25. Zdeno Chara,Boston Bruins,NMC,UFA,40,D,,63,8,12,20,0,23:20,-,-,-,-,-,,"$7,000,000","$6,916,667"
26. Patrice Bergeron,Boston Bruins,NMC,UFA,32,C,,81,23,32,55,2,18:07,-,-,-,-,-,,"$8,750,000","$6,875,000"
27. Anze Kopitar,Los Angeles Kings,,UFA,29,C,,79,16,48,64,-2,19:23,-,-,-,-,-,,"$7,500,000","$6,800,000"
28. Joe Thornton,San Jose Sharks,NMC,UFA,38,C,,78,16,49,65,-4,18:25,-,-,-,-,-,,"$6,750,000","$6,750,000"
29. Mikko Koivu,Minnesota Wild,NMC,UFA,34,C,,80,14,34,48,2,19:16,-,-,-,-,-,,"$5,400,000","$6,750,000"
30. Nicklas Backstrom,Washington Capitals,,UFA,29,C,,82,18,60,78,5,20:31,-,-,-,-,-,,"$6,500,000","$6,700,000"
31. Patrick Marleau,Toronto Maple Leafs,NMC,UFA,37,"LW, C",,82,19,38,57,-17,19:35,-,-,-,-,-,,"$7,000,000","$6,666,667"
32. Erik Karlsson,Ottawa Senators,,UFA,27,D,,82,21,45,66,7,27:15,-,-,-,-,-,,"$6,500,000","$6,500,000"
33. Alex Pietrangelo,St. Louis Blues,,UFA,27,D,,81,7,39,46,-2,25:24,-,-,-,-,-,,"$5,500,000","$6,500,000"
34. Carey Price,Montreal Canadiens,"M-NTC, NMC",UFA,29,G,,66,-,-,-,-,-,44,16,9,1.96,.933,,"$6,750,000","$6,500,000"
35. Thomas Vanek,Chicago Blackhawks,NMC,UFA,33,"LW, RW",,80,21,31,52,-6,16:12,-,-,-,-,-,,"$5,500,000","$6,500,000"
36. Patrick Kane,Chicago Blackhawks,NMC,UFA,28,"RW, C",,61,27,37,64,10,19:51,-,-,-,-,-,,"$6,500,000","$6,300,000"
37. Jonathan Toews,Carolina Hurricanes,NMC,UFA,29,C,,81,28,38,66,30,19:33,-,-,-,-,-,,"$6,500,000","$6,300,000"
38. Cam Ward,Detroit Red Wings,NTC,UFA,33,G,,51,-,-,-,-,-,22,24,1,2.40,.910,,"$6,700,000","$6,300,000"
39. Mike Green,Detroit Red Wings,M-NTC,UFA,31,D,,72,10,35,45,15,19:06,-,-,-,-,-,,"$6,250,000","$6,083,333"
40. Henrik Zetterberg,New Jersey Devils,,UFA,36,"LW, C",,77,17,49,66,-6,19:06,-,-,-,-,-,,"$7,500,000","$6,083,333"
41. Taylor Hall,New York Islanders,,UFA,25,"LW, C",,53,14,24,38,-1,19:13,-,-,-,-,-,,"$6,000,000","$6,000,000"
42. Jordan Eberle,Edmonton Oilers,,UFA,27,RW,,81,24,39,63,-16,19:02,-,-,-,-,-,,"$6,000,000","$6,000,000"
43. Ryan Nugent-Hopkins,Chicago Blackhawks,,UFA,24,C,,76,24,32,56,-12,20:38,-,-,-,-,-,,"$6,000,000","$6,000,000"
44. Corey Crawford,Anaheim Ducks,"M-NTC, NMC",UFA,32,G,,57,-,-,-,-,-,32,20,2,2.27,.924,,"$6,500,000","$6,000,000"
45. Ryan Miller,Colorado Avalanche,M-NTC,UFA,37,G,,45,-,-,-,-,-,29,15,6,2.53,.911,,"$6,000,000","$6,000,000"
46. Matt Duchene,Buffalo Sabres,,UFA,26,"C, LW",,82,21,34,55,3,18:34,-,-,-,-,-,,"$5,500,000","$6,000,000"
47. Ryan O'Reilly,San Jose Sharks,,UFA,26,"C, LW, RW",,82,17,38,55,-5,19:43,-,-,-,-,-,,"$5,800,000","$6,000,000"
48. Joe Pavelski,San Jose Sharks,M-NTC,UFA,33,"C, RW",,82,37,33,70,12,20:07,-,-,-,-,-,,"$6,000,000","$6,000,000"
49. Logan Couture,Carolina Hurricanes,,UFA,28,"C, LW",,82,27,40,67,-6,19:04,-,-,-,-,-,,"$6,000,000","$6,000,000"
50. Jordan Staal,Edmonton Oilers,NMC,UFA,28,"C, LW",,46,6,18,24,-6,18:33,-,-,-,-,-,,"$6,000,000","$6,000,000"
51. Milan Lucic,Dallas Stars,M-NTC,UFA,29,LW,,81,18,26,44,13,16:21,-,-,-,-,-,,"$6,000,000","$6,000,000"
52. Kari Lehtonen,Chicago Blackhawks,NTC,UFA,33,G,,65,-,-,-,-,-,34,17,5,2.94,.903,,"$6,250,000","$5,900,000"
53. Patrick Sharp,Colorado Avalanche,"M-NTC, NMC",UFA,35,"LW, C",,68,16,27,43,-8,16:48,-,-,-,-,-,,"$6,500,000","$5,900,000"
54. Semyon Varlamov,Los Angeles Kings,,UFA,29,G,,57,-,-,-,-,-,28,20,5,2.56,.921,,"$6,250,000","$5,900,000"
55. Dustin Brown,Tampa Bay Lightning,M-NTC,UFA,32,"RW, LW",,82,11,16,27,-17,16:31,-,-,-,-,-,,"$7,250,000","$5,875,000"
56. Ryan Callahan,Los Angeles Kings,NMC,UFA,32,RW,,77,24,30,54,9,17:44,-,-,-,-,-,,"$6,000,000","$5,800,000"
57. Jonathan Quick,St. Louis Blues,,UFA,31,G,,72,-,-,-,-,-,36,22,6,2.24,.918,,"$7,000,000","$5,800,000"
58. Alexander Steen,Chicago Blackhawks,NTC,UFA,33,"LW, C",,74,24,40,64,8,19:58,-,-,-,-,-,,"$5,100,000","$5,800,000"
59. Brent Seabrook,San Jose Sharks,M-NTC,UFA,32,D,,82,8,23,31,-3,22:10,-,-,-,-,-,,"$5,000,000","$5,800,000"
60. Brent Burns,Winnipeg Jets,M-NTC,UFA,32,"D, RW",,82,17,43,60,-9,23:57,-,-,-,-,-,,"$5,760,000","$5,760,000"
61. Toby Enstrom,Dallas Stars,NMC,UFA,32,D,,60,4,19,23,13,23:34,-,-,-,-,-,,"$5,750,000","$5,750,000"
62. Tyler Seguin,Washington Capitals,,UFA,25,"C, RW",,71,37,40,77,-1,19:33,-,-,-,-,-,,"$5,500,000","$5,750,000"
63. Matt Niskanen,New Jersey Devils,M-NTC,UFA,30,D,,82,4,27,31,7,22:21,-,-,-,-,-,,"$5,750,000","$5,750,000"
64. Travis Zajac,Carolina Hurricanes,NTC,UFA,32,C,,74,11,14,25,-3,19:03,-,-,-,-,-,,"$5,000,000","$5,750,000"
65. Jeff Skinner,Calgary Flames,,UFA,25,"LW, RW",,77,18,13,31,-24,16:02,-,-,-,-,-,,"$6,000,000","$5,725,000"
66. Mike Smith,Columbus Blue Jackets,NMC,UFA,35,G,,62,-,-,-,-,-,14,42,0,3.16,.904,,"$6,000,000","$5,666,667"
67. Sergei Bobrovsky,Winnipeg Jets,,UFA,28,G,,51,-,-,-,-,-,30,17,2,2.69,.918,,"$6,250,000","$5,625,000"
68. Blake Wheeler,Buffalo Sabres,,UFA,30,RW,,79,26,35,61,26,19:39,-,-,-,-,-,,"$5,800,000","$5,600,000"
69. Jason Pominville,Colorado Avalanche,NMC,UFA,34,RW,,82,18,36,54,9,18:17,-,-,-,-,-,,"$6,000,000","$5,600,000"
70. Gabriel Landeskog,Chicago Blackhawks,,UFA,24,LW,,82,23,36,59,-2,18:30,-,-,-,-,-,,"$4,500,000","$5,571,429"
71. Duncan Keith,Winnipeg Jets,NMC,UFA,34,D,,80,10,35,45,12,25:33,-,-,-,-,-,,"$7,600,000","$5,538,462"
72. Tyler Myers,Tampa Bay Lightning,,UFA,27,D,,71,7,21,28,-6,25:03,-,-,-,-,-,,"$5,000,000","$5,500,000"
73. Dan Girardi,Washington Capitals,NMC,UFA,33,D,,82,4,16,20,12,22:41,-,-,-,-,-,,"$7,000,000","$5,500,000"
74. Brooks Orpik,Arizona Coyotes,,UFA,36,D,,78,0,19,19,5,21:47,-,-,-,-,-,,"$6,500,000","$5,500,000"
75. Dave Bolland,Arizona Coyotes,NMC,UFA,31,C,,53,6,17,23,4,16:21,-,-,-,-,-,,"$5,500,000","$5,500,000"
76. Oliver Ekman-Larsson,New York Islanders,,UFA,26,D,,82,23,20,43,-18,25:12,-,-,-,-,-,,"$4,000,000","$5,500,000"
77. John Tavares,St. Louis Blues,,UFA,26,C,,82,38,48,86,5,20:40,-,-,-,-,-,,"$6,000,000","$5,500,000"
78. Jay Bouwmeester,Florida Panthers,NTC,UFA,33,D,,72,2,11,13,7,22:39,-,-,-,-,-,,"$5,000,000","$5,400,000"
79. Roberto Luongo,Toronto Maple Leafs,M-NTC,UFA,38,G,,61,-,-,-,-,-,28,19,2,2.35,.921,,"$6,714,000","$5,333,333"
80. Jarome Iginla,Detroit Red Wings,NMC,UFA,40,RW,,82,29,30,59,0,18:08,-,-,-,-,-,,"$5,500,000","$5,333,333"
81. Nathan Horton,Chicago Blackhawks,NMC,UFA,32,RW,,0,0,0,0,0,,-,-,-,-,-,,"$6,000,000","$5,300,000"
82. Shane Doan,Los Angeles Kings,NMC,UFA,40,"RW, LW",,79,14,22,36,-29,18:52,-,-,-,-,-,,"$5,050,000","$5,300,000"
83. Jimmy Howard,Vegas Golden Knights,NMC,UFA,33,G,,53,-,-,-,-,-,23,13,2,2.44,.910,,"$6,000,000","$5,291,667"
84. Marian Hossa,Toronto Maple Leafs,NMC,UFA,38,RW,,82,22,39,61,17,18:33,-,-,-,-,-,,"$7,900,000","$5,275,000"
85. Jeff Carter,Dallas Stars,,UFA,32,"C, RW",,82,28,34,62,7,17:58,-,-,-,-,-,,"$6,750,000","$5,272,727"
86. David Clarkson,Florida Panthers,"M-NTC, NMC",UFA,33,RW,,61,10,5,15,-12,12:18,-,-,-,-,-,,"$4,750,000","$5,250,000"
87. Joffrey Lupul,Montreal Canadiens,M-NTC,UFA,33,"LW, RW",,55,10,11,21,-10,15:29,-,-,-,-,-,,"$5,250,000","$5,250,000"
88. Jamie Benn,Boston Bruins,,UFA,28,LW,,82,35,52,87,1,19:56,-,-,-,-,-,,"$5,250,000","$5,250,000"
89. Dennis Wideman,Buffalo Sabres,NMC,UFA,34,D,,80,15,41,56,6,24:38,-,-,-,-,-,,"$5,000,000","$5,250,000"
90. Keith Yandle,Winnipeg Jets,,UFA,30,D,,84,6,46,52,-26,23:54,-,-,-,-,-,,"$5,500,000","$5,250,000"
91. Mark Streit,Buffalo Sabres,M-NTC,UFA,39,D,,81,9,43,52,-8,22:22,-,-,-,-,-,,"$6,250,000","$5,250,000"
92. David Krejci,Ottawa Senators,"M-NTC, NMC",UFA,31,C,,47,7,24,31,7,18:10,-,-,-,-,-,,"$5,250,000","$5,250,000"
93. Evander Kane,Anaheim Ducks,,UFA,25,LW,,37,10,12,22,-1,19:18,-,-,-,-,-,,"$6,000,000","$5,250,000"
94. Dustin Byfuglien,Vegas Golden Knights,M-NTC,UFA,32,"D, RW",,69,18,27,45,5,22:41,-,-,-,-,-,,"$5,750,000","$5,200,000"
95. Zach Bogosian,Philadelphia Flyers,,UFA,27,D,,62,3,17,20,-6,26:34,-,-,-,-,-,,"$4,000,000","$5,142,857"
96. Bobby Ryan,Ottawa Senators,,UFA,30,"RW, LW",,78,18,36,54,5,17:28,-,-,-,-,-,,"$5,562,500","$5,100,000"
97. Ryan Kesler,Florida Panthers,NTC,UFA,32,"C, RW",,81,20,27,47,-5,19:30,-,-,-,-,-,,"$5,000,000","$5,000,000"
98. Marc-Andre Fleury,Vancouver Canucks,"M-NTC, NMC",UFA,32,G,,64,-,-,-,-,-,34,20,10,2.32,.920,,"$5,750,000","$5,000,000"
99. Valtteri Filppula,Philadelphia Flyers,NMC,UFA,33,"C, LW",,82,12,36,48,-14,19:01,-,-,-,-,-,,"$5,000,000","$5,000,000"
100. Derick Brassard,Vegas Golden Knights,,UFA,29,C,,80,19,41,60,9,17:23,-,-,-,-,-,,"$7,000,000","$5,000,000"
101. Radim Vrbata,Montreal Canadiens,M-NTC,UFA,36,RW,,79,31,32,63,6,16:36,-,-,-,-,-,,"$5,000,000","$5,000,000"
102. Alexander Edler,Buffalo Sabres,NTC,UFA,31,D,,74,8,23,31,13,23:58,-,-,-,-,-,,"$4,250,000","$5,000,000"
103. Andrew MacDonald,Vegas Golden Knights,,UFA,30,D,,58,2,10,12,-5,20:00,-,-,-,-,-,,"$4,250,000","$5,000,000"
104. James Neal,Los Angeles Kings,,UFA,29,"LW, RW",,67,23,14,37,12,18:05,-,-,-,-,-,,"$5,000,000","$5,000,000"
105. Tomas Plekanec,San Jose Sharks,M-NTC,UFA,34,C,,82,26,34,60,8,19:09,-,-,-,-,-,,"$5,000,000","$5,000,000"
106. Matt Moulson,Los Angeles Kings,M-NTC,UFA,33,LW,,77,13,28,41,-11,17:41,-,-,-,-,-,,"$6,000,000","$5,000,000"
107. Mikhail Grabovski,New Jersey Devils,,UFA,33,"C, RW",,51,9,10,19,3,14:16,-,-,-,-,-,,"$4,000,000","$5,000,000"
108. Mike Cammalleri,Carolina Hurricanes,NTC,UFA,35,"LW, C",,68,27,15,42,2,18:19,-,-,-,-,-,,"$5,000,000","$5,000,000"
109. Paul Martin,Vancouver Canucks,"M-NTC, NMC",UFA,36,D,,74,3,17,20,17,22:47,-,-,-,-,-,,"$5,000,000","$5,000,000"
110. Marian Gaborik,Nashville Predators,,UFA,35,RW,,69,27,20,47,7,16:54,-,-,-,-,-,,"$6,075,000","$4,875,000"
111. Ryane Clowe,Detroit Red Wings,NMC,UFA,34,"LW, RW",,13,1,3,4,-1,15:40,-,-,-,-,-,,"$4,850,000","$4,850,000"
112. Justin Faulk,Winnipeg Jets,,UFA,25,D,,82,15,34,49,-19,24:25,-,-,-,-,-,,"$2,500,000","$4,833,333"
113. Sam Gagner,New York Rangers,,UFA,27,"C, RW",,81,15,26,41,-28,17:14,-,-,-,-,-,,"$5,000,000","$4,800,000"
114. Scott Hartnell,Vegas Golden Knights,NMC,UFA,35,LW,,77,28,32,60,1,17:17,-,-,-,-,-,,"$5,000,000","$4,750,000"
115. Niklas Kronwall,Arizona Coyotes,NTC,UFA,36,D,,80,9,35,44,-4,23:50,-,-,-,-,-,,"$6,000,000","$4,750,000"
116. Bryan Little,Anaheim Ducks,M-NTC,UFA,29,"C, RW",,70,24,28,52,8,19:55,-,-,-,-,-,,"$4,750,000","$4,700,000"
117. Ryan McDonagh,Dallas Stars,,UFA,28,D,,71,8,25,33,23,23:07,-,-,-,-,-,,"$4,300,000","$4,700,000"
118. Jason Garrison,Minnesota Wild,NTC,UFA,32,D,,70,4,26,30,27,20:00,-,-,-,-,-,,"$5,000,000","$4,600,000"
119. Alex Goligoski,Tampa Bay Lightning,M-NTC,UFA,31,D,,81,4,32,36,0,23:48,-,-,-,-,-,,"$4,800,000","$4,600,000"
