Rank,LastName,FirstName,Team,Pos,GP,TOI,GF,GA,GF60,GA60,GF%,TM GF60,TM GA60,TM GF%,GF60 RelTM,GA60 RelTM,GF% RelTM,GF60 Rel,GA60 Rel,GF% Rel,Opp GF60,Opp GA60,Opp GF%,SF,SA,Sh%,Sv%,PDO,TM Sh%,TM Sv%,Sh% RelTM,Sv% RelTM,Sh% Rel,Sv% Rel,Opp Sh%,Opp Sv%,CF,CA,CF60,CA60,CF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CF60 Rel,CA60 Rel,CF% Rel,Opp CF60,Opp CA60,Opp CF%,CSh%,CSv%,CPDO,TM CSh%,TM CSv%,CSh% RelTM,CSv% RelTM,CSh% Rel,CSv% Rel,Opp CSh%,Opp CSv%,%ofTeam TOI,%ofTeam GF,%ofTeam GA,%ofTeam CF,%ofTeam CA,%ofTeam OZFO,%ofTeam DZFO,%ofTeam NZFO,G,A,FirstA,Pts,Pri. Pts,Shots,iCorsi,iSh%,iCSh%,Goals per60,Assists per60,FirstA per60,Points per60,Pri.Pts  per60,Shots per60,iCorsi per60,IGP,IAP,IPP,IPPP,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%
11,STOLLERY, KARL,San Jose,D,12,143.117,5,4,2.096,1.677,55.56,2.3769,2.261,51.25,-0.2807,-0.5841,4.31,0.2521,-1.0182,14.93,2.0957,2.2543,48.18,83,57,6.0241,92.9825,99.0066,8.0942,92.332,-2.0701,0.6504,-0.5416,1.4646,7.3081,92.091,165,118,69.174,49.47,58.3,13.9507,-7.4433,9.06,14.7041,-10.1067,10.54,54.6401,54.0397,50.28,3.0303,96.6102,99.6405,4.3041,96.0273,-1.2738,0.5829,-0.3551,1.134,3.8354,95.8284,25.2812,27.7778,17.3913,30.0546,21.9331,37.3494,20.8333,29.7436,0,0,0,0,0,9,22,0,0,0,0,0,0,0,3.7731,9.2232,0,0,0,0,160,58,40,62,36.25,25,38.75
12,DATSYUK, PAVEL,Detroit,F(C),174,2604.7,106,93,2.442,2.142,53.27,2.1102,2.1765,49.23,0.3315,-0.0342,4.04,0.5952,-0.0156,7.15,2.2735,2.2179,50.62,1385,1076,7.6534,91.3569,99.0103,7.5218,92.523,0.1316,-1.1661,1.0048,-1.1459,7.7669,92.3945,2567,1868,59.132,43.03,57.88,7.6116,-6.6995,7,8.2969,-5.5503,6.75,54.8522,54.7377,50.05,4.1293,95.0214,99.1507,4.0959,95.6234,0.0335,-0.602,0.4968,-0.5366,4.1447,95.9481,31.7902,38.1295,31.6327,35.1548,29.2195,34.0792,28.512,31.4534,28,47,26,75,54,305,559,9.180327869,5.008944544,0.645,1.0827,0.5989,1.7276,1.2439,7.0258,12.8767,26.42,44.34,70.75,50.94,2416,870,617,929,36.0099,25.5381,38.452
13,DOUGHTY, DREW,Los Angeles,D,242,4832.87,184,142,2.284,1.763,56.44,2.1194,1.8712,53.11,0.165,-0.1083,3.33,0.2247,-0.0359,3.06,2.2589,2.2505,50.09,2610,2034,7.0498,93.0187,100.0685,6.9115,92.9,0.1383,0.1187,0.2079,-0.0489,7.7558,92.2154,5020,3655,62.323,45.377,57.87,2.2965,-4.2212,3.11,2.7448,-3.6243,3,54.7223,54.4747,50.11,3.6653,96.1149,99.7802,3.5307,96.2272,0.1347,-0.1123,0.2082,-0.214,4.128,95.8688,42.0113,44.5521,41.5205,43.1123,40.1516,44.6917,45.1288,47.729,14,44,25,58,39,379,874,3.693931398,1.601830664,0.1738,0.5463,0.3104,0.7201,0.4842,4.7053,10.8507,7.61,23.91,31.52,21.2,5022,1839,1436,1747,36.6189,28.5942,34.7869
14,SHEARY, CONOR,Pittsburgh,F(LW),44,389.567,13,12,2.002,1.848,52,2.1961,2.1145,50.95,-0.1939,-0.2663,1.05,-0.9114,-0.0942,-8,2.1144,2.154,49.54,218,163,5.9633,92.638,98.6013,7.2013,92.5642,-1.238,0.0738,-2.4959,-0.3794,7.3897,92.4752,385,281,59.297,43.279,57.81,3.967,-9.8518,6.79,-1.6468,-7.7791,3.39,53.4458,53.4028,50.02,3.3766,95.7295,99.1061,3.9692,96.0201,-0.5925,-0.2906,-1.4043,-0.4661,3.9562,95.9666,18.3813,13.4021,17.6471,17.9739,16.0297,16.8524,11.478,16.4,7,3,2,10,9,49,82,14.28571429,8.536585366,1.0781,0.4621,0.308,1.5402,1.3862,7.5468,12.6294,53.85,23.08,76.92,69.23,317,123,73,121,38.8013,23.0284,38.1703
15,THORNTON, JOE,San Jose,F(C),242,3332.68,168,112,3.025,2.016,60,2.0214,2.1273,48.72,1.0032,-0.1109,11.28,1.0858,-0.1307,12.55,2.2559,2.2189,50.41,1898,1395,8.8514,91.9713,100.8227,6.9448,92.53,1.9066,-0.5586,2.1183,-0.3914,7.7268,92.3062,3706,2720,66.721,48.97,57.67,10.2705,-7.1121,7.51,10.7469,-6.5737,7.48,54.8529,54.2462,50.28,4.5332,95.8824,100.4156,3.5808,96.2067,0.9524,-0.3244,1.0694,-0.2521,4.1126,95.9096,28.5129,38.3562,27.2506,32.2233,26.0163,35.6684,33.5409,29.2827,22,101,57,123,79,242,439,9.090909091,5.011389522,0.3961,1.8184,1.0262,2.2144,1.4223,4.3568,7.9035,13.1,60.12,73.21,47.02,3758,1241,1239,1278,33.0229,32.9697,34.0075
16,GABORIK, MARIAN,Los Angeles,F(RW),164,2137.2,93,76,2.611,2.134,55.03,2.2225,1.845,54.64,0.3884,0.2887,0.39,0.4417,0.2251,1.83,2.2469,2.2633,49.82,1182,872,7.868,91.2844,99.1524,7.1919,93.0987,0.6761,-1.8143,0.7932,-1.5109,7.734,92.2173,2204,1637,61.875,45.957,57.38,1.9329,-3.1165,2.4,2.7531,-2.8923,2.62,54.6016,54.749,49.93,4.2196,95.3574,99.577,3.7077,96.2404,0.5119,-0.8831,0.5505,-0.7357,4.1151,95.866,27.0862,30.897,29.3436,27.9944,25.8978,28.0848,27.7879,27.7675,30,32,20,62,50,319,515,9.404388715,5.825242718,0.8422,0.8984,0.5615,1.7406,1.4037,8.9556,14.4582,32.26,34.41,66.67,53.76,2105,750,613,742,35.6295,29.1211,35.2494
17,TATAR, TOMAS,Detroit,F(C),236,2817.62,122,95,2.598,2.023,56.22,2.0006,2.1753,47.91,0.5973,-0.1523,8.31,0.6261,-0.1308,8.43,2.2091,2.2124,49.96,1449,1214,8.4196,92.1746,100.5942,7.0595,92.4172,1.3601,-0.2426,1.3049,-0.2724,7.6367,92.4048,2764,2056,58.858,43.782,57.34,7.6347,-5.508,6.38,8.6884,-5.2677,6.78,54.282,54.6053,49.85,4.4139,95.3794,99.7933,3.9057,95.5868,0.5082,-0.2074,0.4835,-0.2296,4.0697,95.9485,25.4674,31.0433,24.2967,28.6158,23.3716,28.1909,22.5689,23.9355,45,40,26,85,71,385,724,11.68831169,6.215469613,0.9583,0.8518,0.5537,1.81,1.5119,8.1984,15.4173,36.89,32.79,69.67,58.2,2601,905,680,1016,34.7943,26.1438,39.0619
18,PULKKINEN, TEEMU,Detroit,F(LW),70,629.233,20,11,1.907,1.049,64.52,2.138,2.1627,49.71,-0.2309,-1.1138,14.8,-0.1788,-1.105,15.32,2.1373,2.2087,49.18,316,261,6.3291,95.7854,102.1145,7.4945,92.3888,-1.1654,3.3966,-1.1445,3.484,7.4409,92.3793,624,465,59.501,44.34,57.3,7.5165,-4.3203,5.65,8.3513,-3.8399,5.81,54.1179,54.3697,49.88,3.2051,97.6344,100.8395,4.1127,95.5554,-0.9075,2.079,-0.8729,2.105,3.9493,95.9376,19.2098,17.8571,10.3774,21.6667,17.9537,22.3172,14.3017,19.0647,8,4,1,12,9,90,186,8.888888889,4.301075269,0.7628,0.3814,0.0954,1.1442,0.8582,8.5819,17.7359,40,20,60,45,575,212,128,235,36.8696,22.2609,40.8696
19,MARCHAND, BRAD,Boston,F(C),236,3217.23,152,106,2.835,1.977,58.91,2.125,2.1002,50.29,0.7097,-0.1234,8.62,0.6319,-0.0006,6.22,2.2807,2.224,50.63,1917,1449,7.9291,92.6846,100.6137,7.3513,92.6834,0.5778,0.0012,0.2014,-0.6731,7.7663,92.3564,3480,2629,64.9,49.03,56.97,11.1643,-3.3577,6.33,11.8074,-5.0303,7.42,55.0163,54.2074,50.37,4.3678,95.968,100.3358,3.9546,95.991,0.4132,-0.0229,0.2188,-0.3741,4.1455,95.8972,28.0484,33.4066,28.0423,32.273,26.1202,30.3285,31.3441,34.0795,50,57,40,107,90,465,771,10.75268817,6.485084306,0.9325,1.063,0.746,1.9955,1.6785,8.672,14.3788,32.89,37.5,70.39,59.21,3575,1355,1103,1117,37.9021,30.8531,31.2448
20,OUELLET, XAVIER,Detroit,D,30,442.517,16,12,2.169,1.627,57.14,2.1121,2.0862,50.31,0.0573,-0.4592,6.83,0.2272,-0.5579,10.08,2.1241,2.2382,48.69,209,186,7.6555,93.5484,101.2039,7.3592,92.4849,0.2963,1.0634,0.4483,1.6021,7.4937,92.3053,401,303,54.371,41.083,56.96,1.7397,-6.6048,4.5,3.0238,-5.469,4.51,52.7411,54.4703,49.19,3.99,96.0396,100.0296,4.0131,95.6252,-0.023,0.4144,0.2075,0.7332,4.0274,95.891,30.9218,33.3333,25,32.1572,28.3178,28.8382,23.1527,25.625,2,2,2,4,4,31,79,6.451612903,2.53164557,0.2712,0.2712,0.2712,0.5424,0.5424,4.2032,10.7115,12.5,12.5,25,25,356,123,94,139,34.5506,26.4045,39.0449
21,WILLIAMS, JUSTIN,Washington,F(RW),245,3258.53,146,112,2.688,2.062,56.59,2.0996,1.8838,52.71,0.5887,0.1785,3.88,0.5692,0.3141,1.79,2.2383,2.2344,50.04,1815,1404,8.0441,92.0228,100.0669,7.1419,92.9708,0.9022,-0.948,0.8736,-1.2942,7.7195,92.2792,3400,2574,62.605,47.396,56.91,5.4465,-3.2121,3.87,5.2302,-2.8296,3.59,54.4041,54.4699,49.97,4.2941,95.6488,99.9429,3.6733,96.2777,0.6208,-0.6289,0.6005,-0.8706,4.1141,95.8978,27.9284,32.9571,31.3726,29.7177,26.7762,29.0323,27.3776,27.8045,39,52,24,91,63,488,814,7.991803279,4.791154791,0.7181,0.9575,0.4419,1.6756,1.16,8.9856,14.9883,26.71,35.62,62.33,43.15,3056,1098,878,1080,35.9293,28.7304,35.3403
22,BROWN, DUSTIN,Los Angeles,F(LW),243,3161.35,92,98,1.746,1.86,48.42,2.2568,1.8208,55.35,-0.5107,0.0392,-6.92,-0.5954,0.1253,-9.02,2.2192,2.2463,49.7,1633,1309,5.6338,92.5134,98.1472,7.3673,93.1426,-1.7335,-0.6292,-1.8909,-0.8016,7.666,92.2361,3214,2435,60.999,46.214,56.9,2.0108,-3.1409,2.45,0.2703,-1.8719,1.09,54.3492,54.5849,49.89,2.8625,95.9754,98.8379,3.8258,96.3108,-0.9633,-0.3355,-0.9932,-0.4172,4.0832,95.8847,27.3326,21.9048,28.739,27.4209,26.5511,28.0836,29.0212,29.0039,31,32,21,63,52,510,907,6.078431373,3.41786108,0.5884,0.6073,0.3986,1.1957,0.9869,9.6794,17.2142,33.7,34.78,68.48,56.52,3154,1121,931,1102,35.5422,29.5181,34.9398
23,MCNABB, BRAYDEN,Los Angeles,D,164,2480.82,90,65,2.177,1.572,58.06,2.1565,1.9024,53.13,0.0202,-0.3303,4.93,0.0466,-0.3573,5.59,2.1697,2.2563,49.02,1315,1058,6.8441,93.8563,100.7004,7.0853,92.8608,-0.2412,0.9955,-0.2247,1.0767,7.5564,92.2182,2514,1910,60.803,46.194,56.83,1.2429,-3.3758,2.25,1.3947,-3.957,2.6,53.9268,54.6084,49.69,3.58,96.5969,100.1769,3.6208,96.1623,-0.0408,0.4346,-0.0056,0.4439,4.0235,95.8682,31.5589,32.0285,27.3109,32.0622,29.8111,32.252,29.7176,31.8939,4,27,11,31,15,158,405,2.53164557,0.987654321,0.0967,0.653,0.266,0.7498,0.3628,3.8213,9.7952,4.44,30,34.44,16.67,2370,842,663,865,35.5274,27.9747,36.4979
24,BIEGA, DANNY,Carolina,D,10,156.4,5,8,1.918,3.069,38.46,1.9034,2.2889,45.4,0.0147,0.7801,-6.94,0.3197,0.5114,0,2.0649,2.1346,49.17,84,65,5.9524,87.6923,93.6447,6.5491,91.8058,-0.5967,-4.1135,0.8242,-2.3698,7.3589,92.6564,150,114,57.545,43.734,56.82,1.8156,-9.4912,5.67,-4.7971,-3.422,-0.12,52.1859,54.1454,49.08,3.3333,92.9825,96.3158,3.4155,95.6995,-0.0821,-2.7171,0.7692,-1.5938,3.9568,96.0577,29.4123,33.3333,33.3333,27.7778,27.8729,32.5714,26.7081,26.9663,0,2,0,2,0,7,23,0,0,0,0.7673,0,0.7673,0,2.6854,8.8235,0,40,40,0,148,48,43,57,32.4324,29.0541,38.5135
25,PEARSON, TANNER,Los Angeles,F(LW),146,1635.07,69,45,2.532,1.651,60.53,2.1825,1.8814,53.7,0.3495,-0.2301,6.82,0.4839,-0.2497,8.66,2.2078,2.2504,49.52,859,695,8.0326,93.5252,101.5578,6.9788,92.8398,1.0538,0.6853,1.3015,0.7666,7.6577,92.2381,1690,1288,62.016,47.264,56.75,1.1853,-1.3449,1.17,1.6813,-1.1891,1.29,54.2195,54.626,49.81,4.0828,96.5062,100.589,3.5878,96.1295,0.495,0.3767,0.6882,0.4296,4.0719,95.8804,23.5685,27.6,21.1268,24.0672,23.1239,24.1525,24.7059,24.4966,23,23,13,46,36,195,390,11.79487179,5.897435897,0.844,0.844,0.477,1.688,1.321,7.1557,14.3113,33.33,33.33,66.67,52.17,1637,584,483,570,35.675,29.5052,34.8198
26,SOBOTKA, VLADIMIR,St. Louis,F(C),61,760.183,35,29,2.762,2.289,54.69,2.2982,2.0102,53.34,0.4643,0.2787,1.35,0.4868,0.5318,-1.74,2.169,2.199,49.66,403,307,8.6849,90.5537,99.2386,7.8624,92.6339,0.8224,-2.0801,0.9549,-2.6077,7.5414,92.3591,791,603,62.432,47.594,56.74,7.9195,-3.9358,5.34,7.1248,-0.9731,3.5,54.018,54.2335,49.9,4.4248,95.1907,99.6155,4.2158,96.099,0.209,-0.9082,0.3102,-1.1913,4.0154,95.9454,26.738,30.7018,32.2222,29.1774,26.3434,25.7675,31.1454,24.0365,8,14,7,22,15,82,169,9.756097561,4.733727811,0.6314,1.105,0.5525,1.7364,1.1839,6.4721,13.3389,22.86,40,62.86,42.86,714,237,242,235,33.1933,33.8936,32.9132
27,RUNDBLAD, DAVID,Chicago,D,75,895.267,37,24,2.48,1.608,60.66,2.2419,2.1844,50.65,0.2378,-0.576,10.01,0.5088,-0.4501,11.74,2.0686,2.1697,48.81,492,428,7.5203,94.3925,101.9128,7.1763,92.4355,0.344,1.957,1.3177,1.371,7.3961,92.3861,958,733,64.204,49.125,56.65,6.5432,-3.258,4.25,6.8943,-2.6226,4.1,52.3753,54.0501,49.21,3.8622,96.7258,100.588,3.8881,95.8299,-0.0259,0.8959,0.4232,0.7038,3.9496,95.9858,24.6284,29.1339,20.339,26.7972,23.6757,28.8364,18.0851,24.0164,3,9,5,12,8,79,190,3.797468354,1.578947368,0.2011,0.6032,0.3351,0.8042,0.5362,5.2945,12.7336,8.11,24.32,32.43,21.62,822,293,187,342,35.6448,22.7494,41.6058
28,RYAN, DEREK,Carolina,F(C),6,65.4167,3,2,2.752,1.834,60,1.8591,2.4795,42.85,0.8925,-0.6451,17.15,0.7356,-0.9375,17.89,2.1068,2.1034,50.04,35,25,8.5714,92,100.5714,6.634,90.8805,1.9374,1.1195,-0.4173,1.0909,7.4384,92.6346,56,43,51.363,39.439,56.57,-2.1193,-13.294,6.21,10.2879,-17.5114,14.66,52.8232,53.836,49.53,5.3571,95.3488,100.7059,3.4762,95.2981,1.881,0.0507,0.4492,0.2161,3.9883,96.0929,21.5529,27.2727,15.3846,25.5708,15.9851,25.974,20.4082,22.1154,1,0,0,1,1,4,8,25,12.5,0.9172,0,0,0.9172,0.9172,3.6688,7.3376,33.33,0,33.33,33.33,63,23,20,20,36.5079,31.746,31.746
29,CARTER, JEFF,Los Angeles,F(C),231,3006.73,132,104,2.634,2.075,55.93,2.1723,1.7378,55.56,0.4618,0.3376,0.38,0.6574,0.3241,2.91,2.2671,2.2445,50.25,1754,1409,7.5257,92.6189,100.1446,7.261,93.1615,0.2647,-0.5426,0.906,-0.3055,7.7787,92.2233,3340,2567,66.65,51.225,56.54,7.4893,4.027,0.92,7.7928,5.0319,0.52,54.7786,54.4496,50.15,3.9521,95.9486,99.9007,3.6718,96.3181,0.2803,-0.3695,0.5936,-0.2603,4.1387,95.8778,27.3595,33.4177,30.8605,29.8988,29.4617,30.5816,28.8889,28.8026,38,66,38,104,76,508,938,7.480314961,4.051172708,0.7583,1.317,0.7583,2.0753,1.5166,10.1372,18.718,28.79,50,78.79,57.58,3080,1068,871,1141,34.6753,28.2792,37.0455
30,MANSON, JOSH,Anaheim,D,99,1581.83,55,46,2.086,1.745,54.46,2.4055,2.1907,52.34,-0.3193,-0.4459,2.12,-0.0698,-0.5652,6.18,2.2289,2.2164,50.14,826,608,6.6586,92.4342,99.0928,8.2466,92.2862,-1.588,0.148,-0.8733,0.6421,7.6498,92.3058,1515,1170,57.465,44.379,56.42,2.27,-10.0249,6.06,2.0448,-10.1943,6.04,54.898,54.2105,50.32,3.6304,96.0684,99.6988,4.3581,95.9732,-0.7278,0.0952,-0.2599,0.3012,4.06,95.9115,33.665,32.9341,27.7108,34.4788,29.2135,33.574,31.7175,32.4707,4,13,4,17,8,101,203,3.96039604,1.97044335,0.1517,0.4931,0.1517,0.6448,0.3034,3.831,7.6999,7.27,23.64,30.91,14.55,1450,527,458,465,36.3448,31.5862,32.069
31,JENSEN, NICKLAS,Vancouver,F(LW),22,269.433,10,11,2.227,2.45,47.62,2.1477,2.2252,49.11,0.0792,0.2244,-1.49,-0.0446,0.0214,-0.71,2.2341,2.2491,49.83,135,114,7.4074,90.3509,97.7583,7.3617,92.1556,0.0457,-1.8047,-0.3674,-0.4775,7.8445,92.272,283,219,63.021,48.769,56.37,8.6095,-4.6837,5.93,4.9806,-4.7285,4.34,53.4684,55.0805,49.26,3.5336,94.9772,98.5108,3.9471,95.837,-0.4136,-0.8598,-0.3801,-0.484,4.1784,95.9166,26.0209,25.641,26.1905,27.6367,24.2794,32.1321,20,24.4898,3,2,2,5,5,30,60,10,5,0.6681,0.4454,0.4454,1.1134,1.1134,6.6807,13.3614,30,20,50,50,251,84,60,107,33.4661,23.9044,42.6295
