Rank,LastName,FirstName,Team,Pos,GP,TOI,GF,GA,GF60,GA60,GF%,TM GF60,TM GA60,TM GF%,GF60 RelTM,GA60 RelTM,GF% RelTM,GF60 Rel,GA60 Rel,GF% Rel,Opp GF60,Opp GA60,Opp GF%,SF,SA,Sh%,Sv%,PDO,TM Sh%,TM Sv%,Sh% RelTM,Sv% RelTM,Sh% Rel,Sv% Rel,Opp Sh%,Opp Sv%,CF,CA,CF60,CA60,CF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CF60 Rel,CA60 Rel,CF% Rel,Opp CF60,Opp CA60,Opp CF%,CSh%,CSv%,CPDO,TM CSh%,TM CSv%,CSh% RelTM,CSv% RelTM,CSh% Rel,CSv% Rel,Opp CSh%,Opp CSv%,%ofTeam TOI,%ofTeam GF,%ofTeam GA,%ofTeam CF,%ofTeam CA,%ofTeam OZFO,%ofTeam DZFO,%ofTeam NZFO,G,A,FirstA,Pts,Pri. Pts,Shots,iCorsi,iSh%,iCSh%,Goals per60,Assists per60,FirstA per60,Points per60,Pri.Pts  per60,Shots per60,iCorsi per60,IGP,IAP,IPP,IPPP,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%
1,STECKEL, DAVID,Anaheim,F(C),6,57.9667,0,0,0,0,0,2.4164,2.1203,53.26,-2.4164,-2.1203,-53.26,-2.8276,-1.7994,-61.11,2.2901,2.2703,50.22,36,15,0,100,100,8.2211,92.5278,-8.2211,7.4722,-10.1852,5.7851,7.8826,91.9897,61,35,63.14,36.228,63.54,8.2949,-18.2205,13.36,14.3,-22.637,18.2,54.2218,53.4319,50.37,0,100,100,4.4059,96.1058,-4.4059,3.8942,-5.7895,3.0568,4.2236,95.751,19.8936,0,0,24.3028,13.2576,27.2727,16.8421,17.2727,0,0,0,0,0,8,11,0,0,0,0,0,0,0,8.2806,11.3859,0,0,0,0,62,19,16,27,30.6452,25.8065,43.5484
2,FORBORT, DEREK,Los Angeles,D,14,143.85,4,5,1.668,2.086,44.44,2.0539,1.7729,53.67,-0.3855,0.3126,-9.23,-0.5172,0.36,-11.44,2.0464,2.2262,47.9,95,57,4.2105,91.2281,95.4386,6.8405,93.3014,-2.63,-2.0733,-2.3187,-2.193,7.3602,92.4753,175,106,72.993,44.213,62.28,13.9631,-4.865,7.67,9.6088,-3.9867,5.47,51.9335,55.4209,48.38,2.2857,95.283,97.5687,3.4794,96.3875,-1.1937,-1.1045,-1.1626,-1.137,3.9405,95.9831,21.6175,17.3913,25,24.1047,20.1905,19.1667,20.5714,16.7401,1,1,0,2,1,14,30,7.142857143,3.333333333,0.4171,0.4171,0,0.8342,0.4171,5.8394,12.513,25,25,50,25,120,38,36,46,31.6667,30,38.3333
3,DA_COSTA, STEPHANE,Ottawa,F(C),12,112.35,6,4,3.204,2.136,60,2.2397,2.358,48.71,0.9646,-0.2218,11.29,0.8852,-0.0465,8.48,2.0501,2.0767,49.68,56,52,10.7143,92.3077,103.022,7.4663,92.5638,3.248,-0.2561,3.1922,-1.978,7.2247,92.6936,135,87,72.096,46.462,60.81,15.5532,-9.4098,10.51,12.4826,-14.1065,11.21,53.4476,53.7437,49.86,4.4444,95.4023,99.8467,3.961,95.7797,0.4834,-0.3774,0.5543,-0.9941,3.8356,96.1358,20.3465,26.087,20,23.6014,16.3842,19.7674,10.9948,15.736,2,1,1,3,3,16,40,12.5,5,1.0681,0.534,0.534,1.6021,1.6021,8.5447,21.3618,33.33,16.67,50,50,86,31,21,34,36.0465,24.4186,39.5349
4,KOPITAR, ANZE,Los Angeles,F(C),242,3463.18,160,98,2.772,1.698,62.02,2.1028,1.9643,51.7,0.6692,-0.2664,10.31,0.8437,-0.1336,10.73,2.2639,2.2484,50.17,1921,1399,8.329,92.995,101.324,6.7841,92.7277,1.5449,0.2673,1.9513,0.0256,7.7601,92.213,3738,2578,64.761,44.664,59.18,5.2266,-5.2542,4.79,5.5579,-3.8779,4.24,54.8342,54.4362,50.18,4.2804,96.1986,100.479,3.532,96.065,0.7484,0.1336,1.0233,-0.0284,4.1285,95.8697,30.0567,38.1862,28.4884,31.976,28.3359,29.6959,33.26,32.9448,40,75,45,115,85,347,613,11.52737752,6.525285481,0.693,1.2994,0.7796,1.9924,1.4726,6.0118,10.6203,25,46.88,71.88,53.13,3492,1272,1058,1162,36.4261,30.2978,33.2761
5,MOSER, SIMON,Nashville,F(C),6,57.0667,2,2,2.103,2.103,50,2.1243,2.1564,49.63,-0.0215,-0.0535,0.37,0.4895,-0.586,12.5,2.2075,2.1168,51.05,28,20,7.1429,90,97.1429,7.4272,92.2953,-0.2844,-2.2953,1.4286,1.6279,7.7383,92.389,52,36,54.673,37.85,59.09,1.5419,-15.501,9.19,-2.8669,-11.3541,5.19,53.3986,53.1831,50.1,3.8462,94.4444,98.2906,3.9983,95.9582,-0.1521,-1.5138,1.0424,-0.0911,4.1341,96.0198,20.3652,25,16.6667,19.5489,16.4384,24.7191,13.1579,16.4706,1,1,1,2,2,7,11,14.28571429,9.090909091,1.0514,1.0514,1.0514,2.1028,2.1028,7.3598,11.5654,50,50,100,100,46,14,10,22,30.4348,21.7391,47.8261
6,TOFFOLI, TYLER,Los Angeles,F(C),220,2630.65,135,69,3.079,1.574,66.18,1.9872,1.9495,50.48,1.0919,-0.3758,15.7,1.1482,-0.2507,14.76,2.2212,2.2459,49.72,1494,1144,9.0361,93.9685,103.0046,6.5148,92.7147,2.5213,1.2539,2.675,1.1135,7.6915,92.2444,2968,2060,67.694,46.985,59.03,8.6696,-2.7684,4.77,8.6887,-0.7702,3.76,54.2276,54.6293,49.82,4.5485,96.6505,101.199,3.3667,96.0816,1.1818,0.5689,1.2762,0.4709,4.096,95.8889,24.9979,34.7044,22.3301,27.6608,24.6943,27.1172,25.3429,26.3429,43,51,30,94,73,424,803,10.14150943,5.354919054,0.9807,1.1632,0.6842,2.144,1.665,9.6706,18.3149,31.85,37.78,69.63,54.07,2628,922,739,967,35.0837,28.1202,36.796
7,MUZZIN, JAKE,Los Angeles,D,234,3958.1,138,125,2.092,1.895,52.47,2.2697,1.775,56.12,-0.1778,0.1198,-3.64,-0.1215,0.1658,-3.67,2.2408,2.2526,49.87,2147,1582,6.4276,92.0986,98.5262,7.4209,93.3913,-0.9934,-1.2927,-0.805,-1.3027,7.7322,92.2106,4267,2996,64.683,45.416,58.75,5.7072,-3.8729,4.28,5.5121,-2.8545,3.68,54.4077,54.5583,49.93,3.2341,95.8278,99.0619,3.8486,96.3987,-0.6145,-0.5709,-0.5067,-0.5903,4.1186,95.8712,35.526,34.2432,37.6506,37.5914,34.1424,39.7307,36.9742,37.648,15,46,24,61,39,396,890,3.787878788,1.685393258,0.2274,0.6973,0.3638,0.9247,0.5912,6.0029,13.4913,10.87,33.33,44.2,28.26,4038,1399,1134,1505,34.6459,28.0832,37.2709
8,SHORE, NICK,Los Angeles,F(C),102,1086.07,21,29,1.16,1.602,42,2.1274,1.8344,53.7,-0.9673,-0.2323,-11.7,-1.31,-0.2311,-15.4,2.1475,2.2334,49.02,551,403,3.8113,92.804,96.6153,7.1187,93.1484,-3.3075,-0.3444,-4.1747,-0.2671,7.5037,92.2909,1104,776,60.991,42.87,58.72,2.4319,-6.7803,4.61,0.8206,-6.0519,3.57,53.557,54.5414,49.54,1.9022,96.2629,98.1651,3.6329,96.3054,-1.7308,-0.0425,-2.2032,0.0101,4.0097,95.9051,21.9491,11.6667,19.7279,22.182,19.7707,20.5552,20.0429,17.9692,4,9,4,13,8,112,197,3.571428571,2.030456853,0.221,0.4972,0.221,0.7182,0.442,6.1875,10.8833,19.05,42.86,61.9,38.1,920,292,280,348,31.7391,30.4348,37.8261
9,MORIN, TRAVIS,Dallas,F(C),10,103.333,4,1,2.323,0.581,80,2.3866,2.4531,49.31,-0.064,-1.8725,30.69,-0.6625,-1.4618,20.63,2.0505,2.316,46.96,58,41,6.8966,97.561,104.4576,7.9392,91.5356,-1.0427,6.0253,-3.0511,4.9895,7.6859,92.1373,122,87,70.839,50.516,58.37,11.8529,-5.7494,7.19,8.9377,-3.3723,4.91,50.1054,56.6939,46.92,3.2787,98.8506,102.1293,4.0461,95.6401,-0.7674,3.2105,-1.5436,2.6407,4.0923,95.915,21.2956,17.3913,7.1429,23.6434,20.2326,22.5989,18.0645,19.209,0,1,0,1,0,14,25,0,0,0,0.5806,0,0.5806,0,8.129,14.5161,0,25,25,0,102,34,28,40,33.3333,27.451,39.2157
10,BERGERON, PATRICE,Boston,F(C),241,3188.58,144,109,2.71,2.051,56.92,2.2904,2.0124,53.23,0.4192,0.0387,3.69,0.4581,0.088,3.49,2.2931,2.2295,50.7,1885,1366,7.6393,92.0205,99.6598,7.8233,93.3898,-0.184,-1.3693,-0.1828,-1.4225,7.7856,92.3422,3439,2460,64.712,46.29,58.3,10.7508,-9.6927,9.22,11.1604,-8.5563,8.9,55.2012,54.3119,50.41,4.1873,95.5691,99.7564,4.2446,96.4054,-0.0573,-0.8363,-0.0172,-0.8517,4.1541,95.895,27.2156,31.0345,28.0928,31.1222,23.9883,29.9921,39.3067,35.0246,53,54,29,107,82,533,905,9.943714822,5.856353591,0.9973,1.0161,0.5457,2.0134,1.543,10.0295,17.0295,36.81,37.5,74.31,56.94,3962,1422,1406,1134,35.891,35.4871,28.6219
