PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
1. Patrick Kane,Chicago Blackhawks,NMC,UFA,28,"RW, C",,82,46,60,106,17,20:24,-,-,-,-,-,,"$13,800,000","$10,500,000"
2. Jonathan Toews,Chicago Blackhawks,NMC,UFA,29,C,,80,28,30,58,16,19:14,-,-,-,-,-,,"$13,800,000","$10,500,000"
3. Alex Ovechkin,Washington Capitals,M-NTC,UFA,31,"LW, RW",,79,50,21,71,21,20:18,-,-,-,-,-,,"$10,000,000","$9,538,462"
4. Evgeni Malkin,Pittsburgh Penguins,NMC,UFA,30,"C, RW",,57,27,31,58,1,19:22,-,-,-,-,-,,"$9,500,000","$9,500,000"
5. P.K. Subban,Nashville Predators,,UFA,28,D,,68,6,45,51,4,26:21,-,-,-,-,-,,"$7,000,000","$9,000,000"
6. Sidney Crosby,Pittsburgh Penguins,NMC,UFA,29,C,,80,36,49,85,19,20:28,-,-,-,-,-,,"$12,000,000","$8,700,000"
7. Corey Perry,Anaheim Ducks,NMC,UFA,32,RW,,82,34,28,62,2,17:42,-,-,-,-,-,,"$9,000,000","$8,625,000"
8. Henrik Lundqvist,New York Rangers,NMC,UFA,35,G,,65,-,-,-,-,-,35,21,4,2.48,.920,,"$10,000,000","$8,500,000"
9. Claude Giroux,Philadelphia Flyers,NMC,UFA,29,"C, RW",,78,22,45,67,-8,20:32,-,-,-,-,-,,"$9,000,000","$8,275,000"
10. Ryan Getzlaf,Anaheim Ducks,NMC,UFA,32,C,,77,13,50,63,14,19:30,-,-,-,-,-,,"$9,250,000","$8,250,000"
11. Eric Staal,Minnesota Wild,NTC,UFA,32,C,,83,13,26,39,-2,19:17,-,-,-,-,-,,"$9,500,000","$8,250,000"
12. Phil Kessel,Pittsburgh Penguins,"M-NTC, NMC",UFA,29,RW,,82,26,33,59,9,18:22,-,-,-,-,-,,"$10,000,000","$8,000,000"
13. Shea Weber,Montreal Canadiens,,UFA,31,D,,78,20,31,51,-7,25:22,-,-,-,-,-,,"$14,000,000","$7,857,143"
14. Rick Nash,New York Rangers,"M-NTC, NMC",UFA,33,"LW, RW",,60,15,21,36,8,16:56,-,-,-,-,-,,"$7,900,000","$7,800,000"
15. Zach Parise,Minnesota Wild,NMC,UFA,32,LW,,70,25,28,53,-3,19:17,-,-,-,-,-,,"$9,000,000","$7,538,462"
16. Ryan Suter,Minnesota Wild,NMC,UFA,32,D,,82,8,43,51,10,28:35,-,-,-,-,-,,"$9,000,000","$7,538,462"
17. Steven Stamkos,Tampa Bay Lightning,NMC,UFA,27,C,,77,36,28,64,3,19:45,-,-,-,-,-,,"$5,500,000","$7,500,000"
18. Jason Spezza,Dallas Stars,NMC,UFA,34,C,,75,33,30,63,4,16:31,-,-,-,-,-,,"$7,500,000","$7,500,000"
19. Vladimir Tarasenko,St. Louis Blues,,UFA,25,RW,,80,40,34,74,7,18:38,-,-,-,-,-,,"$8,000,000","$7,500,000"
20. Sergei Bobrovsky,Columbus Blue Jackets,,UFA,28,G,,37,-,-,-,-,-,15,19,1,2.75,.908,,"$8,500,000","$7,425,000"
21. Bobby Ryan,Ottawa Senators,"M-NTC, NMC",UFA,30,"RW, LW",,81,22,34,56,-9,17:10,-,-,-,-,-,,"$6,500,000","$7,250,000"
22. Kris Letang,Pittsburgh Penguins,"M-NTC, NMC",UFA,30,D,,71,16,51,67,9,26:56,-,-,-,-,-,,"$7,250,000","$7,250,000"
23. David Krejci,Boston Bruins,NMC,UFA,31,C,,72,17,46,63,4,20:18,-,-,-,-,-,,"$7,250,000","$7,250,000"
24. Dion Phaneuf,Ottawa Senators,"M-NTC, NMC",UFA,32,D,,71,4,28,32,-7,23:10,-,-,-,-,-,,"$8,000,000","$7,000,000"
25. Drew Doughty,Los Angeles Kings,,UFA,27,D,,82,14,37,51,24,28:01,-,-,-,-,-,,"$7,100,000","$7,000,000"
