PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
44. Kari Lehtonen,Chicago Blackhawks,NTC,UFA,33,G,,65,-,-,-,-,-,0,0,0,0.00,.000,,"$6,250,000","$5,900,000"
45. Patrick Sharp,Los Angeles Kings,"M-NTC, NMC",UFA,35,"LW, C",,82,34,44,78,0,,-,-,-,-,-,,"$6,500,000","$5,900,000"
46. Jonathan Quick,Chicago Blackhawks,,UFA,31,G,,49,-,-,-,-,-,0,0,0,0.00,.000,,"$7,000,000","$5,800,000"
47. Brent Seabrook,San Jose Sharks,M-NTC,UFA,32,D,,82,7,34,41,0,,-,-,-,-,-,,"$5,000,000","$5,800,000"
48. Brent Burns,Winnipeg Jets,M-NTC,UFA,32,"D, RW",,69,22,26,48,0,,-,-,-,-,-,,"$5,760,000","$5,760,000"
49. Toby Enstrom,Dallas Stars,NMC,UFA,32,D,,82,10,20,30,0,,-,-,-,-,-,,"$5,750,000","$5,750,000"
50. Tyler Seguin,New Jersey Devils,,UFA,25,"C, RW",,80,37,47,84,0,,-,-,-,-,-,,"$4,500,000","$5,750,000"
51. Travis Zajac,Carolina Hurricanes,NTC,UFA,32,C,,80,18,30,48,0,,-,-,-,-,-,,"$3,500,000","$5,750,000"
52. Jeff Skinner,Calgary Flames,,UFA,25,"LW, RW",,71,33,21,54,0,,-,-,-,-,-,,"$4,350,000","$5,725,000"
53. Mike Smith,Columbus Blue Jackets,NMC,UFA,35,G,,62,-,-,-,-,-,0,0,0,0.00,.000,,"$4,000,000","$5,666,667"
54. Sergei Bobrovsky,Winnipeg Jets,,UFA,28,G,,58,-,-,-,-,-,0,0,0,0.00,.000,,"$5,000,000","$5,625,000"
55. Blake Wheeler,Chicago Blackhawks,,UFA,30,RW,,82,28,41,69,0,,-,-,-,-,-,,"$4,600,000","$5,600,000"
56. Duncan Keith,Winnipeg Jets,NMC,UFA,34,D,,79,6,55,61,0,,-,-,-,-,-,,"$7,650,000","$5,538,462"
57. Tyler Myers,Arizona Coyotes,,UFA,27,D,,62,9,13,22,0,,-,-,-,-,-,,"$6,000,000","$5,500,000"
58. Oliver Ekman-Larsson,New York Islanders,,UFA,26,D,,80,15,29,44,0,,-,-,-,-,-,,"$3,500,000","$5,500,000"
59. Mike Ribeiro,Pittsburgh Penguins,,UFA,37,C,,80,16,31,47,0,,-,-,-,-,-,,"$4,500,000","$5,500,000"
60. John Tavares,Florida Panthers,,UFA,26,C,,59,24,42,66,0,,-,-,-,-,-,,"$5,000,000","$5,500,000"
61. Phil Kessel,Toronto Maple Leafs,"M-NTC, NMC",UFA,29,RW,,82,37,43,80,0,,-,-,-,-,-,,"$5,400,000","$5,400,000"
62. Roberto Luongo,Buffalo Sabres,NTC,UFA,38,G,,56,-,-,-,-,-,0,0,0,0.00,.000,,"$6,714,000","$5,333,333"
63. Nathan Horton,Detroit Red Wings,NMC,UFA,32,RW,,36,5,14,19,0,,-,-,-,-,-,,"$5,000,000","$5,300,000"
64. Shane Doan,Chicago Blackhawks,NMC,UFA,40,"RW, LW",,69,23,24,47,0,,-,-,-,-,-,,"$5,550,000","$5,300,000"
65. Jason Pominville,Los Angeles Kings,"M-NTC, NMC",UFA,34,RW,,82,30,30,60,0,,-,-,-,-,-,,"$5,500,000","$5,300,000"
66. Jimmy Howard,Vegas Golden Knights,NMC,UFA,33,G,,51,-,-,-,-,-,0,0,0,0.00,.000,,"$5,500,000","$5,291,667"
67. Marian Hossa,Toronto Maple Leafs,NMC,UFA,38,RW,,72,30,30,60,0,,-,-,-,-,-,,"$7,900,000","$5,275,000"
68. Jeff Carter,Dallas Stars,,UFA,32,"C, RW",,72,27,23,50,0,,-,-,-,-,-,,"$6,500,000","$5,272,727"
69. David Clarkson,Florida Panthers,"M-NTC, NMC",UFA,33,RW,,60,5,6,11,0,,-,-,-,-,-,,"$4,500,000","$5,250,000"
70. Joffrey Lupul,Montreal Canadiens,M-NTC,UFA,33,"LW, RW",,69,22,22,44,0,,-,-,-,-,-,,"$5,250,000","$5,250,000"
71. Jamie Benn,Boston Bruins,,UFA,28,LW,,81,34,45,79,0,,-,-,-,-,-,,"$5,000,000","$5,250,000"
72. Dennis Wideman,Buffalo Sabres,NMC,UFA,34,D,,46,4,17,21,0,,-,-,-,-,-,,"$5,000,000","$5,250,000"
73. Keith Yandle,Winnipeg Jets,,UFA,30,D,,82,8,45,53,0,,-,-,-,-,-,,"$5,250,000","$5,250,000"
74. Mark Streit,Buffalo Sabres,M-NTC,UFA,39,D,,82,10,34,44,0,,-,-,-,-,-,,"$5,000,000","$5,250,000"
75. David Krejci,Ottawa Senators,M-NTC,UFA,31,C,,80,19,50,69,0,,-,-,-,-,-,,"$5,250,000","$5,250,000"
76. Evander Kane,Anaheim Ducks,,UFA,25,LW,,63,19,22,41,0,,-,-,-,-,-,,"$4,500,000","$5,250,000"
