Rank,LastName,FirstName,Team,Pos,GP,TOI,GF,GA,GF60,GA60,GF%,TM GF60,TM GA60,TM GF%,GF60 RelTM,GA60 RelTM,GF% RelTM,GF60 Rel,GA60 Rel,GF% Rel,Opp GF60,Opp GA60,Opp GF%,SF,SA,Sh%,Sv%,PDO,TM Sh%,TM Sv%,Sh% RelTM,Sv% RelTM,Sh% Rel,Sv% Rel,Opp Sh%,Opp Sv%,CF,CA,CF60,CA60,CF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CF60 Rel,CA60 Rel,CF% Rel,Opp CF60,Opp CA60,Opp CF%,CSh%,CSv%,CPDO,TM CSh%,TM CSv%,CSh% RelTM,CSv% RelTM,CSh% Rel,CSv% Rel,Opp CSh%,Opp CSv%,%ofTeam TOI,%ofTeam GF,%ofTeam GA,%ofTeam CF,%ofTeam CA,%ofTeam OZFO,%ofTeam DZFO,%ofTeam NZFO,G,A,FirstA,Pts,Pri. Pts,Shots,iCorsi,iSh%,iCSh%,Goals per60,Assists per60,FirstA per60,Points per60,Pri.Pts  per60,Shots per60,iCorsi per60,IGP,IAP,IPP,IPPP,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%
11,MOSER, SIMON,Nashville,F(C),6,57.0667,2,2,2.103,2.103,50,2.1919,2.3131,48.65,-0.0891,-0.2103,1.35,0.4895,-0.586,12.5,2.3457,2.122,52.5,28,20,7.1429,90,97.1429,7.7381,91.8453,-0.5953,-1.8453,1.4286,1.6279,8.2854,92.3956,52,36,54.673,37.85,59.09,3.8693,-15.6852,10.4,-2.8669,-11.3541,5.19,53.1599,53.5542,49.82,3.8462,94.4444,98.2906,4.3145,95.6793,-0.4683,-1.2349,1.0424,-0.0911,4.4125,96.0376,20.3652,25,16.6667,19.5489,16.4384,24.7191,13.1579,16.4706,1,1,1,2,2,7,11,14.28571429,9.090909091,1.0514,1.0514,1.0514,2.1028,2.1028,7.3598,11.5654,50,50,100,100,46,14,10,22,30.4348,21.7391,47.8261
12,MARTINEZ, ALEC,Los Angeles,D,139,1777.63,56,47,1.89,1.586,54.37,1.9665,1.8519,51.5,-0.0763,-0.2656,2.87,-0.4913,-0.2911,-1.55,2.136,2.2401,48.81,894,632,6.264,92.5633,98.8273,6.5706,92.9691,-0.3066,-0.4058,-1.3478,-0.1184,7.5638,92.2182,1807,1256,60.991,42.393,58.99,3.1897,-6.6957,4.92,1.5927,-4.8709,3.31,52.8096,54.1955,49.35,3.0991,96.258,99.3571,3.4021,96.2274,-0.3031,0.0306,-0.9103,0.2302,4.0448,95.8667,27.1836,22.8571,23.9796,27.7105,25.0849,26.2428,23.6718,25.0464,10,11,4,21,14,125,317,8,3.154574132,0.3375,0.3713,0.135,0.7088,0.4725,4.2191,10.6996,17.86,19.64,37.5,25,1490,540,401,549,36.2416,26.9128,36.8456
13,TOFFOLI, TYLER,Los Angeles,F(C),72,784,35,15,2.679,1.148,70,1.9429,1.9443,49.98,0.7357,-0.7963,20.02,0.4992,-0.5267,13.45,2.2761,2.2465,50.33,412,330,8.4951,95.4545,103.9496,6.5284,92.5278,1.9668,2.9267,1.5861,2.0729,7.8689,92.1937,841,586,64.362,44.847,58.93,6.5686,-3.8287,4.65,4.3252,-3.5819,3.58,54.2542,54.2541,50,4.1617,97.4403,101.602,3.3618,96.0056,0.8,1.4347,0.5316,0.8983,4.1952,95.8592,23.063,26.9231,17.0455,24.3204,21.7278,24.977,20.6099,21.3358,10,15,8,25,18,119,230,8.403361345,4.347826087,0.7653,1.148,0.6122,1.9133,1.3776,9.1071,17.602,28.57,42.86,71.43,51.43,697,230,196,271,32.9986,28.1205,38.8809
14,SEDIN, DANIEL,Vancouver,F(LW),192,2776.67,123,84,2.658,1.815,59.42,2.416,2.1562,52.84,0.2418,-0.3411,6.58,0.5482,-0.4187,10.85,2.292,2.2268,50.72,1509,1183,8.1511,92.8994,101.0505,8.3211,92.9182,-0.17,-0.0188,0.5357,0.2463,7.8652,92.1982,2918,2038,63.054,44.038,58.88,7.8079,-11.4,8.97,10.2541,-11.4345,10.11,54.4865,53.6653,50.38,4.2152,95.8783,100.0935,4.3732,96.1107,-0.158,-0.2324,0.2196,-0.0948,4.2066,95.8507,30.6411,35.7558,26.4151,34.5366,25.9651,43.8341,20.0792,31.8991,34,57,37,91,71,422,696,8.056872038,4.885057471,0.7347,1.2317,0.7995,1.9664,1.5342,9.1188,15.0396,27.64,46.34,73.98,57.72,2717,986,558,1173,36.29,20.5374,43.1726
15,TOEWS, JONATHAN,Chicago,F(C),182,2653.27,158,102,3.573,2.307,60.77,2.3835,2.2065,51.93,1.1894,0.1,8.84,1.223,0.1434,8.7,2.3057,2.2046,51.12,1613,1160,9.7954,91.2069,101.0023,7.8862,91.8826,1.9092,-0.6757,1.8815,-0.6389,7.8829,92.2911,2819,2025,63.748,45.793,58.2,8.304,-4.1407,5.58,9.4527,-2.8095,5.43,54.7692,53.7534,50.47,5.6048,94.963,100.5678,4.299,95.581,1.3059,-0.618,1.2767,-0.5863,4.2098,95.8987,30.3041,39.7985,31.677,33.7969,29.0614,34.5212,26.2179,34.9196,56,59,35,115,91,387,568,14.47028424,9.85915493,1.2664,1.3342,0.7915,2.6006,2.0578,8.7515,12.8445,35.44,37.34,72.78,57.59,2637,1086,592,959,41.1832,22.4498,36.3671
16,DATSYUK, PAVEL,Detroit,F(C),162,2338.63,110,70,2.822,1.796,61.11,2.3152,2.0967,52.48,0.5069,-0.3008,8.63,0.713,-0.1998,9.73,2.3482,2.2591,50.97,1259,933,8.7371,92.4973,101.2344,7.8134,92.7059,0.9237,-0.2086,1.7262,-0.3511,7.971,92.1882,2296,1662,58.906,42.64,58.01,5.4083,-7.6563,6.47,5.1342,-6.1763,5.59,55.0321,54.0187,50.46,4.7909,95.7882,100.5791,4.3277,95.8313,0.4632,-0.0431,0.8685,-0.1235,4.2669,95.8179,30.651,37.1622,28.4553,32.6229,27.8532,31.0247,31.4914,32.1501,24,60,35,84,59,272,522,8.823529412,4.597701149,0.6157,1.5394,0.898,2.1551,1.5137,6.9784,13.3924,21.82,54.55,76.36,53.64,2150,797,587,766,37.0698,27.3023,35.6279
17,TARASENKO, VLADIMIR,St. Louis,F(RW),102,1223.6,57,34,2.795,1.667,62.64,2.2129,1.9835,52.73,0.5821,-0.3163,9.9,0.4607,-0.317,8.58,2.2935,2.2558,50.42,644,501,8.8509,93.2136,102.0645,7.7736,92.4692,1.0774,0.7444,0.2514,1.2595,7.8692,92.1435,1258,912,61.687,44.72,57.97,8.3209,-5.63,6.52,10.5143,-4.2344,6.86,54.4016,53.7236,50.31,4.531,96.2719,100.8029,4.1466,96.0606,0.3844,0.2113,-0.0307,0.3251,4.216,95.8012,25.3753,28.934,22.2222,29.0733,23.7006,28.5806,18.3571,23.1618,18,27,21,45,39,172,341,10.46511628,5.278592375,0.8826,1.324,1.0297,2.2066,1.9124,8.4341,16.7212,31.58,47.37,78.95,68.42,1078,378,257,443,35.0649,23.8404,41.0946
18,REDDEN, WADE,Boston,D,29,394.483,14,16,2.129,2.434,46.67,2.3372,1.9038,55.11,-0.2078,0.5298,-8.44,-0.2572,0.2306,-5.33,2.1093,2.2294,48.62,195,141,7.1795,88.6525,95.832,7.951,92.7452,-0.7715,-4.0927,-0.8617,-3.0334,7.48,92.3143,373,271,56.732,41.218,57.92,1.2433,-8.3987,5.13,2.3316,-10.7958,6.8,52.9615,54.4135,49.32,3.7534,94.0959,97.8493,4.212,96.163,-0.4587,-2.0671,-0.6336,-1.6688,3.9828,95.9028,28.69,26.4151,30.7692,29.5563,24.1748,31.6629,27.381,31.5904,3,3,1,6,4,24,61,12.5,4.918032787,0.4563,0.4563,0.1521,0.9126,0.6084,3.6503,9.278,21.43,21.43,42.86,28.57,399,145,115,139,36.3409,28.8221,34.8371
19,STONE, MARK,Ottawa,F(RW),23,276.017,10,8,2.174,1.739,55.56,2.4079,2.3698,50.4,-0.2342,-0.6307,5.16,-0.2321,-0.5961,4.81,2.2392,2.2979,49.35,159,129,6.2893,93.7984,100.0877,7.5443,92.61,-1.255,1.1885,-1.0068,0.6592,7.7866,92.0341,308,225,66.952,48.91,57.79,6.3231,-7.0517,5.78,3.8343,-9.4671,5.84,53.6561,54.5969,49.57,3.2468,96.4444,99.6912,3.9716,95.7654,-0.7248,0.679,-0.5649,0.4444,4.1733,95.7912,24.5577,22.7273,19.5122,25.6667,21.4286,22.7882,27.6923,22.0207,3,4,3,7,6,33,65,9.090909091,4.615384615,0.6521,0.8695,0.6521,1.5216,1.3043,7.1735,14.1296,30,40,70,60,260,85,90,85,32.6923,34.6154,32.6923
20,BROWN, DUSTIN,Los Angeles,F(LW),207,2827.47,110,84,2.334,1.783,56.7,2.1878,1.8907,53.64,0.1464,-0.1082,3.06,0.4353,-0.0022,5.15,2.3066,2.2387,50.75,1540,1183,7.1429,92.8994,100.0423,6.9982,92.7019,0.1446,0.1975,0.7636,-0.0569,7.9233,92.2013,2999,2194,63.64,46.558,57.75,3.773,-1.5931,2.33,5.6688,-0.6704,2.64,54.4138,53.7878,50.29,3.6679,96.1714,99.8393,3.6545,96.0734,0.0134,0.098,0.3922,-0.0498,4.2389,95.838,29.2934,33.7423,29.2683,31.2624,28.9981,30.9103,30.3627,31.9115,30,35,18,65,48,406,762,7.389162562,3.937007874,0.6366,0.7427,0.382,1.3793,1.0186,8.6155,16.17,27.27,31.82,59.09,43.64,2709,995,787,927,36.7294,29.0513,34.2193
21,DREWISKE, DAVIS,Montreal,D,38,445.55,15,12,2.02,1.616,55.56,2.0846,1.9552,51.6,-0.0646,-0.3392,3.95,0.0456,-1.2045,14.38,2.2078,2.1917,50.18,228,173,6.5789,93.0636,99.6425,7.0712,92.5953,-0.4923,0.4683,0.4832,3.8356,7.8271,92.4188,447,327,60.195,44.035,57.75,3.3265,-6.0308,4.57,-2.1841,-0.998,-0.32,52.8666,54.0068,49.47,3.3557,96.3303,99.686,3.6656,96.0947,-0.3099,0.2355,0.1907,2.5933,4.1762,95.9417,25.875,26.3158,16.6667,25.1973,25.4475,24.957,20.8154,21.4286,3,5,2,8,5,35,88,8.571428571,3.409090909,0.404,0.6733,0.2693,1.0773,0.6733,4.7133,11.8505,20,33.33,53.33,33.33,368,126,97,145,34.2391,26.3587,39.4022
22,SEDIN, HENRIK,Vancouver,F(C),200,2900.27,140,82,2.896,1.696,63.06,2.0082,2.3352,46.24,0.888,-0.6388,16.83,0.9086,-0.5489,16.11,2.2912,2.2282,50.7,1570,1279,8.9172,93.5887,102.5059,6.9009,92.0477,2.0163,1.5411,1.734,1.0665,7.8622,92.1895,3007,2204,62.208,45.596,57.7,6.1589,-8.2083,6.68,9.1761,-9.065,8.46,54.5588,53.6382,50.43,4.6558,96.2795,100.9353,3.583,95.6598,1.0728,0.6197,0.9078,0.3872,4.1996,95.8459,30.7868,39.3258,25.1534,34.2873,27.0629,44.5601,20.2698,30.6371,20,86,44,106,64,196,339,10.20408163,5.899705015,0.4138,1.7791,0.9103,2.1929,1.324,4.0548,7.0131,14.29,61.43,75.71,45.71,2808,981,586,1241,34.9359,20.8689,44.1952
23,KLINGBERG, CARL,Winnipeg,F(LW),9,58.8333,2,1,2.04,1.02,66.67,1.9076,2.099,47.61,0.132,-1.0792,19.06,0.5533,0.1941,2.38,1.857,2.1686,46.13,34,26,5.8824,96.1538,102.0362,6.6924,92.2569,-0.8101,3.8969,0.91,-1.0684,6.9007,92.6846,60,44,61.19,44.873,57.69,8.939,-9.1837,8.54,4.2121,-16.7295,9.64,50.8406,55.6048,47.76,3.3333,97.7273,101.0606,3.6509,96.1169,-0.3176,1.6104,0.7246,-0.9322,3.6525,96.1001,13.9371,18.1818,16.6667,14.8148,10.5516,11.2,10,11.8182,1,0,0,1,1,10,16,10,6.25,1.0198,0,0,1.0198,1.0198,10.1983,16.3173,50,0,50,50,40,13,13,14,32.5,32.5,35
24,BURROWS, ALEX,Vancouver,F(LW),176,2361.73,101,69,2.566,1.753,59.41,2.3395,2.1732,51.84,0.2264,-0.4202,7.57,0.4298,-0.5561,11.36,2.2741,2.2456,50.32,1282,1041,7.8783,93.3718,101.2501,7.8929,92.4827,-0.0146,0.8891,0.2724,1.1113,7.8394,92.1863,2465,1817,62.623,46.161,57.57,5.8775,-6.0861,5.5,8.1936,-7.3432,7.14,54.3179,54.0181,50.14,4.0974,96.2025,100.2999,4.1228,95.8406,-0.0254,0.3619,0.1729,0.5181,4.1867,95.843,28.5913,32.4759,23.3108,31.5379,25.6747,40.8658,20.0487,29.6507,36,30,21,66,57,336,584,10.71428571,6.164383562,0.9146,0.7622,0.5335,1.6767,1.4481,8.5361,14.8366,35.64,29.7,65.35,56.44,2355,832,494,1029,35.3291,20.9766,43.6943
25,STEEN, ALEXANDER,St. Louis,F(LW),151,2085.02,102,64,2.935,1.842,61.45,2.085,1.8901,52.45,0.8502,-0.0484,8.99,0.9672,-0.0663,10.67,2.3566,2.2396,51.27,1169,820,8.7254,92.1951,100.9205,7.399,92.7954,1.3264,-0.6003,1.4912,-0.3888,7.9905,92.2029,2187,1616,62.935,46.503,57.51,9.7049,-4.1031,6.24,11.3944,-1.7251,5.85,54.8895,53.5652,50.61,4.6639,96.0396,100.7035,3.917,96.265,0.7469,-0.2254,0.8455,-0.0042,4.2933,95.8188,29.4287,38.3459,28.6996,33.7396,28.6779,32.4361,33.9,33.1665,39,35,20,74,59,325,627,12,6.220095694,1.1223,1.0072,0.5755,2.1295,1.6978,9.3524,18.043,38.24,34.31,72.55,57.84,2184,795,678,711,36.4011,31.044,32.5549
26,THOMAS, BILL,Florida,F(RW),7,57.7333,1,1,1.039,1.039,50,1.8878,2.3266,44.79,-0.8486,-1.2873,5.21,-0.4776,-1.5611,13.16,2.2397,2.1222,51.35,30,29,3.3333,96.5517,99.885,6.6071,92.2083,-3.2737,4.3435,-2.1354,5.6426,7.8435,92.6744,55,41,57.159,42.61,57.29,4.4841,-10.6706,7.58,7.5356,-11.9981,9.68,53.7307,54.8173,49.5,1.8182,97.561,99.3792,3.5839,95.6333,-1.7657,1.9277,-1.2386,2.3229,4.1683,96.1287,17.2536,12.5,7.6923,19.3662,13.9932,16.8675,14.6067,14.9123,1,0,0,1,1,9,17,11.11111111,5.882352941,1.0393,0,0,1.0393,1.0393,9.3533,17.6674,100,0,100,100,44,17,13,14,38.6364,29.5455,31.8182
27,SAAD, BRANDON,Chicago,F(LW),126,1638.8,88,56,3.222,2.05,61.11,2.6389,2.2538,53.94,0.583,-0.2035,7.18,0.677,-0.0233,6.01,2.253,2.2076,50.51,932,690,9.4421,91.8841,101.3262,8.4528,91.6687,0.9892,0.2153,1.299,-0.1201,7.8109,92.2888,1662,1244,60.849,45.546,57.19,4.1916,-3.5987,3.64,4.4591,-1.7965,2.83,53.988,53.7791,50.1,5.2948,95.4984,100.7932,4.6576,95.4139,0.6372,0.0844,0.7819,-0.1216,4.1731,95.8951,26.8881,31.769,26.6667,28.4103,26.1345,28.8229,22.7301,30.3329,21,33,26,54,47,211,347,9.952606635,6.051873199,0.7689,1.2082,0.9519,1.9771,1.7208,7.7252,12.7044,23.86,37.5,61.36,53.41,1583,647,363,573,40.8718,22.9311,36.1971
28,SMITH, REILLY,Boston,F(RW),122,1406.47,65,43,2.773,1.834,60.19,2.5854,1.9048,57.58,0.1875,-0.0704,2.61,0.3471,-0.1442,5.11,2.2903,2.2519,50.42,741,616,8.7719,93.0195,101.7914,8.1411,93.1711,0.6309,-0.1516,0.4811,-0.2244,7.8927,92.21,1430,1073,61.004,45.774,57.13,0.9565,-5.303,3.1,4.668,-7.8242,5.89,54.3289,53.9542,50.17,4.5455,95.9925,100.538,4.3056,96.2708,0.2398,-0.2782,0.2395,-0.3159,4.2155,95.8263,24.1088,26.6393,22.7513,25.5951,21.3405,24.8265,23.6673,28.8722,15,27,19,42,34,151,257,9.933774834,5.836575875,0.6399,1.1518,0.8105,1.7917,1.4504,6.4417,10.9636,23.08,41.54,64.62,52.31,1445,576,404,465,39.8616,27.9585,32.1799
29,DOUGHTY, DREW,Los Angeles,D,203,3686.95,130,117,2.116,1.904,52.63,2.0504,1.838,52.73,0.0652,0.066,-0.1,0.2033,0.1372,0.65,2.3266,2.2441,50.9,1894,1561,6.8638,92.5048,99.3686,6.6569,92.8249,0.2069,-0.3201,0.6138,-0.4733,7.9657,92.1946,3688,2775,60.017,45.159,57.06,0.7317,-3.6243,2.2,0.8511,-2.689,1.78,54.6472,53.8585,50.36,3.5249,95.7838,99.3087,3.4585,96.2323,0.0665,-0.4485,0.2929,-0.5238,4.2576,95.8333,38.9733,41.4013,40.7665,39.3135,37.6067,40.9353,41.8659,44.0484,12,28,19,40,31,281,662,4.270462633,1.812688822,0.1953,0.4557,0.3092,0.6509,0.5045,4.5729,10.7731,9.23,21.54,30.77,23.85,3623,1347,1068,1208,37.1791,29.4783,33.3425
30,JENSEN, NICKLAS,Vancouver,F(LW),19,250.017,9,10,2.16,2.4,47.37,2.4329,2.0595,54.16,-0.273,0.3404,-6.79,-0.4109,0.2882,-7.53,2.261,2.2725,49.87,122,109,7.377,90.8257,98.2027,8.057,92.6389,-0.6799,-1.8132,-1.2383,-1.1604,7.8975,92.0928,269,203,64.556,48.717,56.99,6.7994,-1.7617,3.63,4.1441,-3.7073,3.45,53.7728,54.7188,49.56,3.3457,95.0739,98.4196,4.2123,95.9201,-0.8666,-0.8462,-0.9096,-0.8981,4.2047,95.8469,27.671,24.3243,30.303,29.0183,26.2274,33.3333,19.084,27.8169,3,2,2,5,5,24,54,12.5,5.555555556,0.72,0.48,0.48,1.1999,1.1999,5.7596,12.9591,33.33,22.22,55.56,55.56,229,79,50,100,34.4978,21.8341,43.6681
31,TATAR, TOMAS,Detroit,F(C),91,1008.07,49,31,2.916,1.845,61.25,1.9957,2.2214,47.32,0.9208,-0.3762,13.93,0.8267,-0.3913,12.94,2.1894,2.2338,49.5,522,422,9.387,92.654,102.041,6.7896,92.0876,2.5973,0.5664,1.8622,0.4446,7.6656,92.2524,979,739,58.27,43.985,56.98,5.9534,-4.811,5.24,8.593,-5.5084,6.89,53.5058,54.0357,49.75,5.0051,95.8051,100.8102,3.8147,95.4477,1.1904,0.3575,0.7985,0.3237,4.0919,95.8661,23.5463,30.0613,20.2614,26.5384,21.4888,25.4745,21.0345,20.1253,17,18,12,35,29,140,253,12.14285714,6.719367589,1.0118,1.0714,0.7142,2.0832,1.7261,8.3328,15.0585,34.69,36.73,71.43,59.18,882,289,244,349,32.7664,27.6644,39.5692
