Rank,LastName,FirstName,Team,Pos,GP,TOI,GF,GA,GF60,GA60,GF%,TM GF60,TM GA60,TM GF%,GF60 RelTM,GA60 RelTM,GF% RelTM,GF60 Rel,GA60 Rel,GF% Rel,Opp GF60,Opp GA60,Opp GF%,SF,SA,Sh%,Sv%,PDO,TM Sh%,TM Sv%,Sh% RelTM,Sv% RelTM,Sh% Rel,Sv% Rel,Opp Sh%,Opp Sv%,CF,CA,CF60,CA60,CF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CF60 Rel,CA60 Rel,CF% Rel,Opp CF60,Opp CA60,Opp CF%,CSh%,CSv%,CPDO,TM CSh%,TM CSv%,CSh% RelTM,CSv% RelTM,CSh% Rel,CSv% Rel,Opp CSh%,Opp CSv%,%ofTeam TOI,%ofTeam GF,%ofTeam GA,%ofTeam CF,%ofTeam CA,%ofTeam OZFO,%ofTeam DZFO,%ofTeam NZFO,G,A,FirstA,Pts,Pri. Pts,Shots,iCorsi,iSh%,iCSh%,Goals per60,Assists per60,FirstA per60,Points per60,Pri.Pts  per60,Shots per60,iCorsi per60,IGP,IAP,IPP,IPPP,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%
1,OUELLET, XAVIER,Detroit,D,4,52.1333,0,0,0,0,0,2.1995,1.9839,52.58,-2.1995,-1.9839,-52.58,-2.1067,-1.6854,-55.56,2.1074,2.2079,48.84,26,19,0,100,100,7.5486,92.4738,-7.5486,7.5262,-7.6923,6.0606,7.3174,92.0162,50,27,57.545,31.074,64.94,3.5552,-15.4974,11.25,10.3537,-17.8022,15.81,54.2791,53.1577,50.52,0,100,100,4.074,95.7402,-4.074,4.2598,-4.4643,3.4483,3.8826,95.8466,26.7992,0,0,30.8642,18.8811,20,19.0476,29.3103,0,0,0,0,0,4,10,0,0,0,0,0,0,0,4.6036,11.509,0,0,0,0,39,17,8,14,43.5897,20.5128,35.8974
2,MUZZIN, JAKE,Los Angeles,D,121,1843.1,73,44,2.376,1.432,62.39,2.0276,1.9428,51.07,0.3489,-0.5105,11.33,0.3567,-0.4778,11,2.2989,2.2328,50.73,1005,676,7.2637,93.4911,100.7548,6.7,92.6172,0.5637,0.8739,0.4455,0.8009,7.9275,92.2072,1990,1231,64.782,40.074,61.78,6.3929,-8.6643,7.28,7.2432,-8.5565,7.59,54.3661,53.8616,50.23,3.6683,96.4257,100.094,3.4725,96.0137,0.1959,0.4119,0.1581,0.3535,4.2285,95.8546,32.4759,36.1386,26.506,35.128,28.3837,38.3665,32.4219,35.5832,6,19,11,25,17,177,410,3.389830508,1.463414634,0.1953,0.6185,0.3581,0.8138,0.5534,5.762,13.3471,8.22,26.03,34.25,23.29,1871,659,498,714,35.2218,26.6168,38.1614
3,WILLIAMS, JUSTIN,Los Angeles,F(RW),212,2882.05,122,87,2.54,1.811,58.37,2.0591,1.848,52.7,0.4808,-0.0368,5.67,0.744,-0.0017,8.61,2.3088,2.2447,50.7,1708,1179,7.1429,92.6209,99.7638,6.9102,93.0139,0.2327,-0.393,0.8686,-0.2959,7.9216,92.1731,3280,2128,68.285,44.302,60.65,10.6813,-5.5323,7.04,12.2198,-3.8699,6.86,54.5237,53.7901,50.34,3.7195,95.9117,99.6312,3.5746,96.2916,0.1449,-0.38,0.5163,-0.3248,4.2344,95.8269,29.1169,36.747,29.097,33.3469,27.4191,31.0065,29.6992,32.0525,31,62,30,93,61,502,830,6.175298805,3.734939759,0.6454,1.2907,0.6246,1.9361,1.2699,10.4509,17.2794,25.41,50.82,76.23,50,2771,1026,790,955,37.0263,28.5096,34.4641
4,MORIN, JEREMY,Chicago,F(LW),30,273.633,16,11,3.508,2.412,59.26,2.4557,2.1965,52.79,1.0526,0.2155,6.47,0.634,0.1427,3.38,2.0967,2.205,48.74,150,108,10.6667,89.8148,100.4815,8.0348,91.7315,2.6319,-1.9167,0.596,-1.9434,7.5916,92.3393,288,189,63.15,41.442,60.38,7.5126,-7.3012,7.08,9.041,-7.3719,7.81,51.8266,54.1442,48.91,5.5556,94.1799,99.7355,4.4138,95.4937,1.1417,-1.3138,0.2433,-1.1713,4.0457,95.9276,18.6978,21.9178,19.6429,21.1609,16.3354,23.3261,14.2857,16.6348,6,7,6,13,12,52,86,11.53846154,6.976744186,1.3156,1.5349,1.3156,2.8505,2.6313,11.4021,18.8574,37.5,43.75,81.25,75,250,87,55,108,34.8,22,43.2
5,BERGERON, PATRICE,Boston,F(C),203,2724.92,142,67,3.127,1.475,67.94,2.5442,2.1917,53.72,0.5825,-0.7165,14.22,0.5992,-0.6465,13.58,2.3275,2.302,50.28,1656,1125,8.5749,94.0444,102.6193,8.5006,92.7693,0.0743,1.2752,0.2112,1.3388,7.9699,92.1446,3084,2028,67.907,44.655,60.33,11.0204,-9.7115,9.2,10.8135,-7.95,8.28,54.8038,54.8116,50,4.6044,96.6963,101.3007,4.4724,95.9686,0.132,0.7277,0.1774,0.7297,4.247,95.8002,27.7408,32.1995,21.0692,31.3478,24.5788,30.651,40.4564,33.0709,39,65,40,104,79,405,753,9.62962963,5.179282869,0.8587,1.4312,0.8808,2.29,1.7395,8.9177,16.5803,27.46,45.77,73.24,55.63,3188,1134,1117,937,35.5709,35.0376,29.3915
6,SISLO, MIKE,New Jersey,F(RW),14,114.767,0,1,0,0.523,0,2.0485,2.1058,49.31,-2.0485,-1.583,-49.31,-1.6954,-0.8547,-55.17,2.0681,2.326,47.07,58,43,0,97.6744,97.6744,7.8068,91.5217,-7.8068,6.1527,-5.694,3.478,7.3086,92.3232,104,69,54.371,36.073,60.12,5.0961,-7.013,6.77,0.4358,-5.8883,3.87,52.7804,55.5424,48.73,0,98.5507,98.5507,4.1572,95.1125,-4.1572,3.4383,-3.1434,1.8336,3.9182,95.8123,16.8527,0,7.1429,16.9657,14.8387,14.5631,13.3333,13.5747,0,0,0,0,0,20,29,0,0,0,0,0,0,0,10.456,15.1612,0,0,0,0,84,30,24,30,35.7143,28.5714,35.7143
7,KOPITAR, ANZE,Los Angeles,F(C),211,3065.55,144,91,2.818,1.781,61.28,1.8335,1.9131,48.94,0.9849,-0.132,12.34,1.1748,-0.0215,13.58,2.3339,2.2326,51.11,1828,1276,7.8775,92.8683,100.7458,6.2248,92.7064,1.6527,0.162,2.0849,-0.0508,7.964,92.1998,3468,2318,67.877,45.369,59.94,10.1,-3.8175,5.92,11.907,-2.4717,6.02,54.8012,53.658,50.53,4.1522,96.0742,100.2264,3.1734,96.1105,0.9789,-0.0363,1.2157,-0.1578,4.2588,95.8391,31.1045,43.6364,30.8475,35.3805,29.9793,31.6167,32.4284,33.805,42,61,38,103,80,367,638,11.44414169,6.5830721,0.822,1.1939,0.7437,2.016,1.5658,7.1831,12.4872,29.17,42.36,71.53,55.56,2905,1075,860,970,37.0052,29.6041,33.3907
8,PICARD, ALEXANDRE,Pittsburgh,D,17,207.917,13,8,3.752,2.309,61.9,2.564,2.197,53.85,1.1875,0.1117,8.05,1.2577,-0.9442,18.51,2.1656,2.3193,48.29,113,76,11.5044,89.4737,100.9781,8.4963,91.9435,3.0081,-2.4698,3.8378,1.8194,7.5121,92.0183,205,139,59.158,40.112,59.59,2.9526,-11.9935,7.7,-1.4525,-11.1738,5.43,54.3053,54.4441,49.94,6.3415,94.2446,100.5861,4.5619,95.7837,1.7796,-1.539,2.227,0.5871,3.9879,95.74,27.3113,36.1111,21.0526,26.8325,22.7124,32.6613,19.3717,24.6057,0,4,2,4,2,10,18,0,0,0,1.1543,0.5772,1.1543,0.5772,2.8858,5.1944,0,30.77,30.77,15.38,196,78,37,81,39.7959,18.8776,41.3265
9,MARCHAND, BRAD,Boston,F(C),203,2725.9,142,75,3.126,1.651,65.44,2.541,1.9739,56.28,0.5846,-0.3231,9.16,0.6438,-0.3667,10.28,2.3213,2.2946,50.29,1615,1180,8.7926,93.6441,102.4367,8.152,93.0613,0.6405,0.5827,0.5894,0.6019,7.9397,92.1542,3056,2097,67.266,46.157,59.31,9.5603,-5.8064,6.69,10.354,-6.2807,7.26,54.8501,54.6065,50.11,4.6466,96.4235,101.0701,4.4034,96.2014,0.2432,0.2221,0.2859,0.2709,4.232,95.798,27.7199,32.5688,23.8853,31.19,25.2377,29.6962,28.6527,31.7956,45,62,37,107,82,319,542,14.10658307,8.302583026,0.9905,1.3647,0.8144,2.3552,1.8049,7.0215,11.93,31.69,43.66,75.35,57.75,2804,1089,806,909,38.8374,28.7446,32.418
10,FAST, JESPER,NY Rangers,F(RW),11,104.117,1,5,0.576,2.881,16.67,2.1697,2.0177,51.82,-1.5934,0.8637,-35.15,-0.4662,0.9454,-18.33,2.1777,2.2232,49.48,52,40,1.9231,87.5,89.4231,7.2545,92.8535,-5.3314,-5.3535,-1.3788,-5.2778,7.6743,92.4137,94,65,54.17,37.458,59.12,-0.6576,-16.8457,8.88,-1.824,-13.4728,6.75,53.3165,54.6188,49.4,1.0638,92.3077,93.3715,3.9573,96.2845,-2.8934,-3.9768,-0.7979,-3.8911,4.0844,95.9296,20.5352,12.5,27.7778,20,15.9705,14.6667,18.0645,21.6561,0,0,0,0,0,7,14,0,0,0,0,0,0,0,4.0339,8.0679,0,0,0,0,84,34,28,22,40.4762,33.3333,26.1905
