PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
1. Patrick Kane,Chicago Blackhawks,NMC,UFA,28,"RW, C",,82,34,55,89,11,21:23,-,-,-,-,-,,"$13,800,000","$10,500,000"
2. Jonathan Toews,Chicago Blackhawks,NMC,UFA,29,C,,72,21,37,58,7,20:09,-,-,-,-,-,,"$13,800,000","$10,500,000"
3. Anze Kopitar,Los Angeles Kings,NMC,UFA,29,C,,76,12,40,52,-10,20:45,-,-,-,-,-,,"$14,000,000","$10,000,000"
4. Alex Ovechkin,Washington Capitals,M-NTC,UFA,31,"LW, RW",,82,33,36,69,6,18:21,-,-,-,-,-,,"$10,000,000","$9,538,462"
5. Evgeni Malkin,Pittsburgh Penguins,NMC,UFA,30,"C, RW",,62,33,39,72,18,18:37,-,-,-,-,-,,"$9,500,000","$9,500,000"
6. P.K. Subban,Nashville Predators,,UFA,28,D,,66,10,30,40,-8,24:24,-,-,-,-,-,,"$11,000,000","$9,000,000"
7. Sidney Crosby,Pittsburgh Penguins,NMC,UFA,29,C,,75,44,45,89,17,19:52,-,-,-,-,-,,"$10,900,000","$8,700,000"
8. Corey Perry,Anaheim Ducks,NMC,UFA,32,RW,,82,19,34,53,2,17:42,-,-,-,-,-,,"$10,000,000","$8,625,000"
9. Steven Stamkos,Tampa Bay Lightning,NMC,UFA,27,C,,17,9,11,20,3,17:52,-,-,-,-,-,,"$9,500,000","$8,500,000"
10. Henrik Lundqvist,New York Rangers,NMC,UFA,35,G,,57,-,-,-,-,-,31,20,2,2.74,.910,,"$9,500,000","$8,500,000"
11. Claude Giroux,Philadelphia Flyers,NMC,UFA,29,"C, RW",,82,14,44,58,-15,19:07,-,-,-,-,-,,"$9,000,000","$8,275,000"
12. Ryan Getzlaf,Anaheim Ducks,NMC,UFA,32,C,,74,15,58,73,7,21:04,-,-,-,-,-,,"$9,250,000","$8,250,000"
13. Jakub Voracek,Philadelphia Flyers,,UFA,27,RW,,82,20,41,61,-24,19:05,-,-,-,-,-,,"$10,000,000","$8,250,000"
14. Phil Kessel,Pittsburgh Penguins,"M-NTC, NMC",UFA,29,RW,,82,23,47,70,3,17:56,-,-,-,-,-,,"$9,000,000","$8,000,000"
15. Shea Weber,Montreal Canadiens,,UFA,31,D,,78,17,25,42,20,25:03,-,-,-,-,-,,"$12,000,000","$7,857,143"
16. Rick Nash,New York Rangers,"M-NTC, NMC",UFA,33,"LW, RW",,67,23,15,38,9,16:27,-,-,-,-,-,,"$8,000,000","$7,800,000"
17. Dustin Byfuglien,Winnipeg Jets,NMC,UFA,32,"D, RW",,80,13,39,52,10,27:26,-,-,-,-,-,,"$8,000,000","$7,600,000"
18. Zach Parise,Minnesota Wild,NMC,UFA,32,LW,,69,19,23,42,-3,17:25,-,-,-,-,-,,"$9,000,000","$7,538,462"
19. Ryan Suter,Minnesota Wild,NMC,UFA,32,D,,82,9,30,39,34,26:55,-,-,-,-,-,,"$9,000,000","$7,538,462"
20. Jason Spezza,Dallas Stars,"M-NTC, NMC",UFA,34,C,,68,15,35,50,-18,16:10,-,-,-,-,-,,"$7,500,000","$7,500,000"
21. Vladimir Tarasenko,St. Louis Blues,,UFA,25,RW,,82,39,36,75,-1,18:28,-,-,-,-,-,,"$8,000,000","$7,500,000"
22. Ryan O'Reilly,Buffalo Sabres,,UFA,26,"C, LW, RW",,72,20,35,55,-1,21:27,-,-,-,-,-,,"$11,000,000","$7,500,000"
23. Sergei Bobrovsky,Columbus Blue Jackets,NMC,UFA,28,G,,63,-,-,-,-,-,41,17,7,2.06,.931,,"$8,500,000","$7,425,000"
24. Bobby Ryan,Ottawa Senators,"M-NTC, NMC",UFA,30,"RW, LW",,62,13,12,25,-3,15:32,-,-,-,-,-,,"$7,000,000","$7,250,000"
25. Kris Letang,Pittsburgh Penguins,"M-NTC, NMC",UFA,30,D,,41,5,29,34,2,25:31,-,-,-,-,-,,"$7,250,000","$7,250,000"
26. David Krejci,Boston Bruins,NMC,UFA,31,C,,82,23,31,54,-12,18:15,-,-,-,-,-,,"$7,250,000","$7,250,000"
27. Dion Phaneuf,Ottawa Senators,"M-NTC, NMC",UFA,32,D,,81,9,21,30,-6,23:02,-,-,-,-,-,,"$7,500,000","$7,000,000"
28. Drew Doughty,Los Angeles Kings,,UFA,27,D,,82,12,32,44,8,27:08,-,-,-,-,-,,"$7,450,000","$7,000,000"
29. Paul Stastny,St. Louis Blues,NTC,UFA,31,C,,66,18,22,40,4,19:08,-,-,-,-,-,,"$7,000,000","$7,000,000"
30. Henrik Sedin,Vancouver Canucks,NMC,UFA,36,C,,82,15,36,51,-27,19:02,-,-,-,-,-,,"$7,000,000","$7,000,000"
31. Daniel Sedin,Vancouver Canucks,NMC,UFA,36,LW,,82,15,29,44,-16,18:23,-,-,-,-,-,,"$7,000,000","$7,000,000"
32. Pekka Rinne,Nashville Predators,"M-NTC, NMC",UFA,34,G,,61,-,-,-,-,-,31,19,3,2.42,.918,,"$7,000,000","$7,000,000"
33. Tuukka Rask,Boston Bruins,NMC,UFA,30,G,,65,-,-,-,-,-,37,20,8,2.23,.915,,"$7,500,000","$7,000,000"
34. Zdeno Chara,Boston Bruins,NMC,UFA,40,D,,75,10,19,29,18,23:19,-,-,-,-,-,,"$5,000,000","$6,916,667"
35. Ryan Kesler,Anaheim Ducks,NMC,UFA,32,"C, RW",,82,22,36,58,8,21:18,-,-,-,-,-,,"$7,875,000","$6,875,000"
36. Patrice Bergeron,Boston Bruins,NMC,UFA,32,C,,79,21,32,53,12,19:25,-,-,-,-,-,,"$8,750,000","$6,875,000"
37. Brent Seabrook,Chicago Blackhawks,NMC,UFA,32,D,,79,3,36,39,5,21:53,-,-,-,-,-,,"$9,000,000","$6,875,000"
38. Johnny Gaudreau,Calgary Flames,,UFA,23,LW,,72,18,43,61,-7,18:29,-,-,-,-,-,,"$6,750,000","$6,750,000"
39. Mark Giordano,Calgary Flames,NTC,UFA,33,D,,81,12,27,39,22,23:34,-,-,-,-,-,,"$6,750,000","$6,750,000"
40. Joe Thornton,San Jose Sharks,NMC,UFA,38,C,,79,7,43,50,7,18:03,-,-,-,-,-,,"$6,750,000","$6,750,000"
41. Mikko Koivu,Minnesota Wild,NMC,UFA,34,C,,80,18,40,58,27,19:06,-,-,-,-,-,,"$5,400,000","$6,750,000"
42. Nicklas Backstrom,Washington Capitals,M-NTC,UFA,29,C,,82,23,63,86,17,18:15,-,-,-,-,-,,"$7,000,000","$6,700,000"
43. Patrick Marleau,Toronto Maple Leafs,NMC,UFA,37,"LW, C",,82,27,19,46,4,17:09,-,-,-,-,-,,"$6,500,000","$6,666,667"
44. Erik Karlsson,Ottawa Senators,,UFA,27,D,,77,17,54,71,10,26:50,-,-,-,-,-,,"$7,000,000","$6,500,000"
45. Derek Stepan,Arizona Coyotes,,UFA,27,C,,81,17,38,55,19,18:36,-,-,-,-,-,,"$8,000,000","$6,500,000"
46. Alex Pietrangelo,St. Louis Blues,,UFA,27,D,,80,14,34,48,3,25:16,-,-,-,-,-,,"$7,000,000","$6,500,000"
47. Carey Price,Montreal Canadiens,"M-NTC, NMC",UFA,29,G,,62,-,-,-,-,-,37,20,3,2.23,.923,,"$7,000,000","$6,500,000"
48. Sean Monahan,Calgary Flames,,UFA,22,C,,82,27,31,58,-1,17:34,-,-,-,-,-,,"$6,500,000","$6,375,000"
49. Keith Yandle,Florida Panthers,NMC,UFA,30,D,,82,5,36,41,-6,22:02,-,-,-,-,-,,"$7,500,000","$6,350,000"
50. Nathan MacKinnon,Colorado Avalanche,,UFA,21,"C, RW",,82,16,37,53,-14,19:56,-,-,-,-,-,,"$5,000,000","$6,300,000"
